condition_id,model,param,N_valid,N_truth_avail,mean_bias,mean_rel_bias,coverage_95,mean_post_sd,emp_sd,sd_bias,mean_n_div,prop_div,mean_rhat
85,SG,omega[1],200,200,-0.4328502193719582,-0.27404186304221184,0.51,0.19323370249605876,0.17352204444321798,0.01971165805284078,0.195,0.115,1.0029821078588828
85,SG,omega[2],200,200,-0.4372335860071649,-0.27681701690687205,0.495,0.19294234274945,0.16532454865394938,0.02761779409550061,0.195,0.115,1.0029821078588828
85,SG,phi11,200,200,-0.09263364310884581,-0.1684248056524469,0.925,0.13241810940902268,0.12715833646255403,0.005259772946468649,0.195,0.115,1.0029821078588828
85,SG,phi12,200,200,0.006788479061365147,0.06788479061365148,0.945,0.15111260855782874,0.14681952831817896,0.004293080239649777,0.195,0.115,1.0029821078588828
85,SG,phi21,200,200,-0.019377183033210323,-0.1937718303321032,0.965,0.13280099903390086,0.119330968656776,0.013470030377124853,0.195,0.115,1.0029821078588828
85,SG,phi22,200,200,-0.05791800516593805,-0.2316720206637522,0.95,0.15029097718864207,0.13406327997167447,0.016227697216967596,0.195,0.115,1.0029821078588828
85,SG,rho,200,200,-0.06844033330216741,-0.13688066660433482,0.91,0.11297184996351084,0.107060076292733,0.005911773670777845,0.195,0.115,1.0029821078588828
86,NG,mu[1],200,200,0.01002590970534214,0.01002590970534214,0.91,0.14854991168111212,0.16725363826031553,-0.01870372657920341,0,0,1.0011778457638736
86,NG,mu[2],200,200,0.009693112517304694,0.009693112517304694,0.935,0.14839054844663632,0.15700314543921373,-0.00861259699257741,0,0,1.0011778457638736
86,NG,phi11,200,200,-0.0967585340675915,-0.17592460739562088,0.95,0.1355988498701428,0.12157619080627462,0.014022659063868195,0,0,1.0011778457638736
86,NG,phi12,200,200,0.014130522925595615,0.14130522925595615,0.965,0.15537627175140745,0.14241256897024313,0.012963702781164321,0,0,1.0011778457638736
86,NG,phi21,200,200,-0.03547652816984669,-0.3547652816984669,0.955,0.13592461785265259,0.12762165533037076,0.008302962522281826,0,0,1.0011778457638736
86,NG,phi22,200,200,-0.03865380594173842,-0.1546152237669537,0.98,0.15378987466191674,0.135765604271527,0.01802427039038973,0,0,1.0011778457638736
86,NG,rho,200,200,-0.06455914351593363,-0.12911828703186726,0.91,0.11296214234765105,0.11879943071243516,-0.005837288364784116,0,0,1.0011778457638736
86,NG,sigma[1],200,200,5.888330536362457e-4,5.888330536362457e-4,0.945,0.10398782193358215,0.10489329957932281,-9.054776457406571e-4,0,0,1.0011778457638736
86,NG,sigma[2],200,200,-0.001396969481752735,-0.001396969481752735,0.905,0.10369540435016175,0.11805124242450822,-0.01435583807434647,0,0,1.0011778457638736
86,SG,alpha[1],200,200,6.1472669903221755,0.6830296655913528,0.505,5.659315187961336,3.267048180268174,2.3922670076931616,1.325,0.45,1.00389603751754
86,SG,alpha[2],200,200,6.362579704472718,0.7069533004969686,0.47,4.727224676809118,2.904975811690413,1.8222488651187048,1.325,0.45,1.00389603751754
86,SG,mu[1],200,200,0.004500076040036847,0.004500076040036847,0.92,0.14129352842647583,0.16107757726209204,-0.019784048835616214,1.325,0.45,1.00389603751754
86,SG,mu[2],200,200,0.005666859995852318,0.005666859995852318,0.925,0.1413507370256085,0.15203811199403439,-0.010687374968425895,1.325,0.45,1.00389603751754
86,SG,omega[1],200,200,-0.4146785302058997,-0.25262870994359277,0.61,0.21537680489385225,0.19796157541869253,0.01741522947515972,1.325,0.45,1.00389603751754
86,SG,omega[2],200,200,-0.426364592494016,-0.2597480436566293,0.585,0.21382755352881175,0.2152551001733256,-0.0014275466445138607,1.325,0.45,1.00389603751754
86,SG,phi11,200,200,-0.08292292053115742,-0.1507689464202862,0.945,0.12563990426387742,0.10724848004126304,0.018391424222614375,1.325,0.45,1.00389603751754
86,SG,phi12,200,200,0.014687037583432993,0.1468703758343299,0.97,0.14354883008422864,0.12676454590389022,0.01678428418033842,1.325,0.45,1.00389603751754
86,SG,phi21,200,200,-0.027087098794200147,-0.2708709879420015,0.96,0.12593289351948087,0.11594353049141969,0.00998936302806118,1.325,0.45,1.00389603751754
86,SG,phi22,200,200,-0.03172164444176819,-0.12688657776707277,0.98,0.14442259363778487,0.12314211743643372,0.02128047620135115,1.325,0.45,1.00389603751754
