"condition_id","rep_id","margin_type","true_rho","tau_empirical","tau_expected","status"
20,96,"skewnormal",0.3,0.270392365869753,0.193973368041357,"ok"
20,23,"skewnormal",0.3,0.223795746408812,0.193973368041357,"ok"
21,169,"chisq",0.3,0.222069945688036,0.193973368041357,"ok"
21,39,"chisq",0.3,0.177706715395158,0.193973368041357,"ok"
21,159,"chisq",0.3,0.22542002944013,0.193973368041357,"ok"
21,71,"chisq",0.3,0.180549210699964,0.193973368041357,"ok"
21,52,"chisq",0.3,0.235673316075326,0.193973368041357,"ok"
22,37,"skewnormal",0.3,0.222374498756408,0.193973368041357,"ok"
22,78,"skewnormal",0.3,0.181868940662911,0.193973368041357,"ok"
22,136,"skewnormal",0.3,0.230191360844627,0.193973368041357,"ok"
22,117,"skewnormal",0.3,0.188163037409269,0.193973368041357,"ok"
22,169,"skewnormal",0.3,0.14379980711639,0.193973368041357,"ok"
23,87,"skewnormal",0.3,0.216689508146795,0.193973368041357,"ok"
23,52,"skewnormal",0.3,0.239226435206335,0.193973368041357,"ok"
23,117,"skewnormal",0.3,0.210699964468809,0.193973368041357,"ok"
23,164,"skewnormal",0.3,0.0922288208720369,0.193973368041357,"ok"
23,74,"skewnormal",0.3,0.275062179584793,0.193973368041357,"ok"
24,164,"chisq",0.3,0.17527029084818,0.193973368041357,"ok"
24,160,"chisq",0.3,0.0759859905588549,0.193973368041357,"ok"
24,19,"chisq",0.3,0.137099639612202,0.193973368041357,"ok"
24,170,"chisq",0.3,0.196081417186945,0.193973368041357,"ok"
24,57,"chisq",0.3,0.266940764428202,0.193973368041357,"ok"
25,179,"skewnormal",0.3,0.133749555860109,0.193973368041357,"ok"
25,56,"skewnormal",0.3,0.173442972437947,0.193973368041357,"ok"
25,114,"skewnormal",0.3,0.208263539921831,0.193973368041357,"ok"
25,127,"skewnormal",0.3,0.201258819349272,0.193973368041357,"ok"
25,23,"skewnormal",0.3,0.177808233084615,0.193973368041357,"ok"
26,148,"skewnormal",0.3,0.155981929851277,0.193973368041357,"ok"
26,78,"skewnormal",0.3,0.196182934876402,0.193973368041357,"ok"
26,149,"skewnormal",0.3,0.257702654687579,0.193973368041357,"ok"
26,97,"skewnormal",0.3,0.130907060555302,0.193973368041357,"ok"
26,110,"skewnormal",0.3,0.210090858332064,0.193973368041357,"ok"
27,10,"chisq",0.3,0.239327952895792,0.193973368041357,"ok"
27,143,"chisq",0.3,0.21415156591036,0.193973368041357,"ok"
27,18,"chisq",0.3,0.131110095934217,0.193973368041357,"ok"
27,129,"chisq",0.3,0.226435206334704,0.193973368041357,"ok"
27,158,"chisq",0.3,0.19821328866555,0.193973368041357,"ok"
28,103,"skewnormal",0.5,0.277210884353741,0.333333333333333,"ok"
28,180,"skewnormal",0.5,0.404761904761905,0.333333333333333,"ok"
28,28,"skewnormal",0.5,0.437074829931973,0.333333333333333,"ok"
28,177,"skewnormal",0.5,0.433673469387755,0.333333333333333,"ok"
28,174,"skewnormal",0.5,0.431972789115646,0.333333333333333,"ok"
29,6,"skewnormal",0.5,0.379251700680272,0.333333333333333,"ok"
29,90,"skewnormal",0.5,0.348639455782313,0.333333333333333,"ok"
