Model,T,skew_level,direction,VARset,rho,param,mean_rel_bias,coverage_95,mean_post_sd,emp_sd,mean_bias,sd_bias,RMSE
Normal–Gaussian (NG),50,Exponential,++,B,0.5,sigma[1],-0.023386295542271777,0.715,0.10171035526292461,0.1838825788517156,-0.023386295542271777,-0.08217222358879099,0.185363754883062
Normal–Gaussian (NG),50,Exponential,++,B,0.5,sigma[2],0.0087989892229013,0.715,0.10491610489421375,0.19281861036185885,0.0087989892229013,-0.0879025054676451,0.19301927031574612
Normal–Gaussian (NG),50,Exponential,++,B,0.5,mu[1],-0.016954084091068442,0.905,0.14564747440778314,0.17224015220920016,-0.016954084091068442,-0.026592677801417025,0.17307255992911025
Normal–Gaussian (NG),50,Exponential,++,B,0.5,mu[2],7.747740256575125e-4,0.915,0.15045849393328073,0.1681957948177461,7.747740256575125e-4,-0.017737300884465373,0.16819757926071405
Normal–Gaussian (NG),50,Exponential,++,B,0.5,phi11,-0.1722079946746902,0.925,0.13448299120333002,0.11923856231737162,-0.0947143970710796,0.015244428885958394,0.15227820512486956
Normal–Gaussian (NG),50,Exponential,++,B,0.5,phi12,0.010817310179370787,0.96,0.15084908696517632,0.14100389746678463,0.0010817310179370798,0.009845189498391693,0.14100804673074044
Normal–Gaussian (NG),50,Exponential,++,B,0.5,phi21,-0.29592102770331125,0.975,0.14121365933493316,0.1369475341697498,-0.029592102770331124,0.004266125165183349,0.14010824266096777
Normal–Gaussian (NG),50,Exponential,++,B,0.5,phi22,-0.18178077552134092,0.955,0.15263181853464802,0.13860022379931328,-0.04544519388033523,0.014031594735334746,0.14586050762300598
Normal–Gaussian (NG),50,Exponential,++,B,0.5,rho,-0.20333518685219684,0.835,0.11630717068221663,0.13507215226287028,-0.10166759342609842,-0.01876498158065365,0.16905852794218476
Normal–Gaussian (NG),50,Exponential,+-,A,0.3,sigma[1],0.015220121245606295,0.715,0.1063323229176005,0.21403376666112514,0.015220121245606295,-0.10770144374352464,0.21457424207457876
Normal–Gaussian (NG),50,Exponential,+-,A,0.3,sigma[2],-0.002670318717583308,0.72,0.10482972010046429,0.1868519760275164,-0.002670318717583308,-0.08202225592705212,0.18687105593815498
Normal–Gaussian (NG),50,Exponential,+-,A,0.3,mu[1],0.009657159798941847,0.91,0.15150903201531973,0.18629091292155048,0.009657159798941847,-0.034781880906230744,0.18654105438891194
Normal–Gaussian (NG),50,Exponential,+-,A,0.3,mu[2],-0.019249368704972635,0.935,0.14926260383418438,0.17268951380174238,-0.019249368704972635,-0.023426909967558,0.17375904687993127
Normal–Gaussian (NG),50,Exponential,+-,A,0.3,phi11,-0.15759127869748868,0.975,0.1355136194197167,0.11704041956827778,-0.06303651147899549,0.01847319985143893,0.13293630652368837
Normal–Gaussian (NG),50,Exponential,+-,A,0.3,phi12,-0.07449592706274705,0.975,0.14169266666430644,0.1370160062699481,-0.0074495927062747085,0.004676660394358351,0.13721837488345295
Normal–Gaussian (NG),50,Exponential,+-,A,0.3,phi21,-0.28989482351837587,0.945,0.1372310739385526,0.14437052094050593,-0.0289894823518376,-0.00713944700195332,0.14725229167541184
Normal–Gaussian (NG),50,Exponential,+-,A,0.3,phi22,-0.232452043035218,0.9,0.1366627608771432,0.13239246619879858,-0.0929808172140872,0.004270294678344638,0.16178132610409496
Normal–Gaussian (NG),50,Exponential,+-,A,0.3,rho,0.26339866481268553,0.885,0.12917006635044376,0.14116861517508525,0.07901959944380565,-0.011998548824641492,0.16177971135686575
Normal–Gaussian (NG),50,Exponential,+-,A,0.5,sigma[1],-0.015938957474784052,0.69,0.102190905464441,0.18667756513584075,-0.015938957474784052,-0.08448665967139975,0.18735678181061138
Normal–Gaussian (NG),50,Exponential,+-,A,0.5,sigma[2],-0.01764972821092982,0.73,0.10201803097110282,0.17747884359253532,-0.01764972821092982,-0.0754608126214325,0.17835429018911575
Normal–Gaussian (NG),50,Exponential,+-,A,0.5,mu[1],-0.0065087479468665934,0.935,0.14604405818741173,0.1547985890254526,-0.0065087479468665934,-0.00875453083804087,0.1549353638266836
Normal–Gaussian (NG),50,Exponential,+-,A,0.5,mu[2],0.003284863087643851,0.925,0.1457524689021765,0.15873657106131703,0.003284863087643851,-0.012984102159140531,0.15877055557567693
Normal–Gaussian (NG),50,Exponential,+-,A,0.5,phi11,-0.1974469800759761,0.95,0.14462888263203705,0.13621801856076696,-0.07897879203039045,0.008410864071270091,0.1574579250822299
Normal–Gaussian (NG),50,Exponential,+-,A,0.5,phi12,-0.13157854696754975,0.925,0.14770371084895792,0.1517031411542555,-0.013157854696754977,-0.003999430305297591,0.1522726901853674
Normal–Gaussian (NG),50,Exponential,+-,A,0.5,phi21,-0.11887692943048332,0.96,0.14718844228450728,0.13908486518692503,-0.011887692943048329,0.008103577097582249,0.139591965985057
Normal–Gaussian (NG),50,Exponential,+-,A,0.5,phi22,-0.19243937710493664,0.97,0.14459698197431956,0.13674691754994744,-0.07697575084197465,0.00785006442437211,0.15692350262818466
Normal–Gaussian (NG),50,Exponential,+-,A,0.5,rho,0.1668653008364708,0.8,0.11423793050772102,0.14020804694540648,0.0834326504182354,-0.02597011643768546,0.16315423250426814
Normal–Gaussian (NG),50,Exponential,+-,B,0.3,sigma[1],-5.579603055630905e-5,0.71,0.10483889028215049,0.19012149693396976,-5.579603055630905e-5,-0.08528260665181928,0.19012150512135784
Normal–Gaussian (NG),50,Exponential,+-,B,0.3,sigma[2],-0.024968112530998166,0.73,0.10236609135680233,0.17645578821249414,-0.024968112530998166,-0.0740896968556918,0.1782135007148818
Normal–Gaussian (NG),50,Exponential,+-,B,0.3,mu[1],0.005752330335536856,0.905,0.149477307762941,0.1767639337920524,0.005752330335536856,-0.027286626029111416,0.17685750646758036
Normal–Gaussian (NG),50,Exponential,+-,B,0.3,mu[2],0.011100757432287642,0.925,0.1461066883498268,0.1482251975382122,0.011100757432287642,-0.002118509188385409,0.14864029063754053
Normal–Gaussian (NG),50,Exponential,+-,B,0.3,phi11,-0.1438140694560109,0.945,0.1268971447850763,0.11658671467921397,-0.07909773820080601,0.010310430105862328,0.14088617472334072
Normal–Gaussian (NG),50,Exponential,+-,B,0.3,phi12,-0.08517378024778254,0.96,0.1474753348020238,0.13182422483644693,-0.008517378024778262,0.015651109965576865,0.13209909909665202
Normal–Gaussian (NG),50,Exponential,+-,B,0.3,phi21,0.08394038830587616,0.97,0.12703786341115142,0.12191371152936867,0.008394038830587612,0.005124151881782751,0.12220234427684083
Normal–Gaussian (NG),50,Exponential,+-,B,0.3,phi22,-0.1649626916616223,0.975,0.1414762007767285,0.13314111814721755,-0.04124067291540558,0.008335082629510965,0.13938203056350848
Normal–Gaussian (NG),50,Exponential,+-,B,0.3,rho,0.22743949239952474,0.915,0.12880249279575426,0.14076351792463673,0.06823184771985742,-0.011961025128882474,0.1564287474276558
Normal–Gaussian (NG),50,Exponential,+-,B,0.5,sigma[1],0.0027417996188884965,0.695,0.10417095676530014,0.20108055202554873,0.0027417996188884965,-0.09690959526024859,0.20109924382764235
Normal–Gaussian (NG),50,Exponential,+-,B,0.5,sigma[2],-0.005751625700000185,0.645,0.10319561701476303,0.2007975805641471,-0.005751625700000185,-0.09760196354938407,0.20087993816856886
Normal–Gaussian (NG),50,Exponential,+-,B,0.5,mu[1],0.021996183245293434,0.925,0.14961848432303393,0.16606878702665653,0.021996183245293434,-0.016450302703622605,0.16751917532588778
Normal–Gaussian (NG),50,Exponential,+-,B,0.5,mu[2],0.00244325433740334,0.915,0.14849367443865535,0.1593049466368136,0.00244325433740334,-0.01081127219815825,0.15932368158787716
Normal–Gaussian (NG),50,Exponential,+-,B,0.5,phi11,-0.15344410105639888,0.92,0.13222166659566634,0.1242323472133396,-0.08439425558101939,0.007989319382326734,0.1501867719514944
Normal–Gaussian (NG),50,Exponential,+-,B,0.5,phi12,-0.29904488890686987,0.96,0.1511433929849746,0.14116088943955302,-0.029904488890686996,0.009982503545421573,0.1442937114470999
Normal–Gaussian (NG),50,Exponential,+-,B,0.5,phi21,0.0024145099199762788,0.975,0.1342019679849273,0.12556758882383331,2.4145099199762986e-4,0.008634379161093997,0.1255678209638632
Normal–Gaussian (NG),50,Exponential,+-,B,0.5,phi22,-0.24223466666548832,0.955,0.14653037574529862,0.12888412683256942,-0.06055866666637208,0.0176462489127292,0.1424024938608963
Normal–Gaussian (NG),50,Exponential,+-,B,0.5,rho,0.18284093020221387,0.84,0.1152879353016691,0.13066612442472647,0.09142046510110693,-0.01537818912305737,0.1594720587171333
Normal–Gaussian (NG),50,Exponential,--,A,0.3,sigma[1],0.014916105027665954,0.725,0.10639603543604427,0.1843446375267252,0.014916105027665954,-0.07794860209068093,0.1849471156143184
Normal–Gaussian (NG),50,Exponential,--,A,0.3,sigma[2],0.0025093570827174312,0.65,0.10526959140659232,0.21355272654338633,0.0025093570827174312,-0.10828313513679401,0.2135674691686047
Normal–Gaussian (NG),50,Exponential,--,A,0.3,mu[1],0.002005389030506228,0.93,0.15199535494382288,0.16551829703622203,0.002005389030506228,-0.013522942092399154,0.16553044505146086
Normal–Gaussian (NG),50,Exponential,--,A,0.3,mu[2],0.01384265329169444,0.905,0.14979947305887534,0.1728759551055879,0.01384265329169444,-0.02307648204671256,0.1734292792576366
