condition_id,Model,param,mcmc_status,dgp_level,direction,T,rho,VARset,N_valid,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias
3,Exponential (EG),phi12,Clean,Exponential,+-,50,0.3,A,200,-0.01954144925574683,0.945,0.05093280541671449,0.04455924201606122,0.050895304156933295,-0.006336062140872074
3,Exponential (EG),phi21,Clean,Exponential,+-,50,0.3,A,200,0.0033953977750537548,0.94,0.04475128451950576,0.044144756686856496,0.04474999641212553,-6.052397252690328e-4
3,Exponential (EG),phi22,Clean,Exponential,+-,50,0.3,A,200,-0.03616821249893119,0.955,0.044607109111142705,0.04525571075766901,0.04219587477460961,0.0030598359830594016
3,Exponential (EG),rho,Clean,Exponential,+-,50,0.3,A,200,-1.8687028217060857,0.005,0.5732265738965425,0.12648608216954088,0.11960009947513674,0.006885982694404144
4,Normal (NG),sigma[1],Clean,Exponential,++,100,0.3,A,200,-0.00673944316521804,0.675,0.13936179138270852,0.0720193965194057,0.13919873851159847,-0.06717934199219278
4,Normal (NG),sigma[2],Clean,Exponential,++,100,0.3,A,200,-5.36655472641377e-4,0.685,0.13002894616865715,0.07253162086058762,0.13002783872169538,-0.05749621786110776
4,Normal (NG),mu[1],Clean,Exponential,++,100,0.3,A,200,0.008955867358089628,0.92,0.10892022365041948,0.1021387365494593,0.10855140514945766,-0.006412668599998353
4,Normal (NG),mu[2],Clean,Exponential,++,100,0.3,A,200,-9.2374757064587e-4,0.925,0.1130376596890471,0.10276020274614782,0.11303388517786402,-0.010273682431716197
4,Normal (NG),phi11,Clean,Exponential,++,100,0.3,A,200,-0.07790493128944272,0.965,0.10301505342362045,0.0966413400943519,0.09818876056248663,-0.001547420468134733
4,Normal (NG),phi12,Clean,Exponential,++,100,0.3,A,200,0.0035499488520054872,0.95,0.10200625521442537,0.09812179007675069,0.10200563749863026,-0.0038838474218795688
4,Normal (NG),phi21,Clean,Exponential,++,100,0.3,A,200,-0.002725128863052568,0.925,0.1074857727723432,0.09842482419854386,0.10748542731549515,-0.009060603116951296
4,Normal (NG),phi22,Clean,Exponential,++,100,0.3,A,200,-0.10307813164205694,0.92,0.11003420974663766,0.097385161999721,0.10201720991536818,-0.004632047915647183
