condition_id,Model,param,dgp_level,direction,T,rho,VARset,N_valid,N_truth_avail,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias,mean_n_div,prop_div,mean_rhat
3,Normal (NG),phi22,Exponential,+-,50,0.3,A,200,200,-0.2324701409829411,0.9,0.1617893104849381,0.13665718273740288,0.1323971387735065,0.00426004396389634,0,0,1.0010484238109882
3,Normal (NG),rho,Exponential,+-,50,0.3,A,200,200,-1.7366000685741183,0.02,0.5397672407847383,0.1291790458074937,0.1411683122691584,-0.0119892664616647,0,0,1.0010484238109882
3,Normal (NG),sigma[1],Exponential,+-,50,0.3,A,200,200,0.0152138257342019,0.715,0.21457095786314187,0.10632865992231136,0.2140309217492546,-0.10770226182694322,0,0,1.0010484238109882
3,Normal (NG),sigma[2],Exponential,+-,50,0.3,A,200,200,-0.00266450419753403,0.72,0.18687861496128572,0.1048276798555216,0.18685961882447957,-0.08203193896895797,0,0,1.0010484238109882
4,Exponential (EG),mu[1],Exponential,++,100,0.3,A,200,200,0.02077753589063428,0.96,0.09850840558430574,0.10065256519914773,0.09629226330851032,0.00436030189063739,0,0,1.001863796251739
4,Exponential (EG),mu[2],Exponential,++,100,0.3,A,200,200,0.00728929398917485,0.95,0.09722071196275295,0.0992825907023048,0.09694706301731865,0.00233552768498615,0,0,1.001863796251739
4,Exponential (EG),phi11,Exponential,++,100,0.3,A,200,200,-0.01005687017455226,0.95,0.024944800622347493,0.02309917305651803,0.02461829758645833,-0.0015191245299403,0,0,1.001863796251739
4,Exponential (EG),phi12,Exponential,++,100,0.3,A,200,200,0.0063089724016711,0.94,0.026577192001439837,0.02241047827940305,0.0265697027336353,-0.00415922445423224,0,0,1.001863796251739
4,Exponential (EG),phi21,Exponential,++,100,0.3,A,200,200,0.00535228934958987,0.955,0.023421340112435983,0.02144387482514562,0.02341522373691068,-0.00197134891176506,0,0,1.001863796251739
4,Exponential (EG),phi22,Exponential,++,100,0.3,A,200,200,-0.00597503146258207,0.96,0.023775985506254038,0.02174339592445204,0.02365555593591042,-0.00191216001145838,0,0,1.001863796251739
4,Exponential (EG),rho,Exponential,++,100,0.3,A,200,200,-0.04868571578652922,0.95,0.08803911648067818,0.08933259669145888,0.08681911729423547,0.0025134793972234,0,0,1.001863796251739
4,Normal (NG),mu[1],Exponential,++,100,0.3,A,200,200,0.00895586735808962,0.92,0.10892022365041948,0.1021387365494593,0.10855140514945766,-0.00641266859999835,0,0,1.0008749774577788
4,Normal (NG),mu[2],Exponential,++,100,0.3,A,200,200,-9.237475706458696e-4,0.925,0.1130376596890471,0.10276020274614782,0.11303388517786402,-0.01027368243171619,0,0,1.0008749774577788
4,Normal (NG),phi11,Exponential,++,100,0.3,A,200,200,-0.07790493128944272,0.965,0.10301505342362047,0.0966413400943519,0.09818876056248664,-0.00154742046813473,0,0,1.0008749774577788
4,Normal (NG),phi12,Exponential,++,100,0.3,A,200,200,0.00354994885200549,0.95,0.10200625521442537,0.09812179007675068,0.10200563749863026,-0.00388384742187956,0,0,1.0008749774577788
4,Normal (NG),phi21,Exponential,++,100,0.3,A,200,200,-0.00272512886305257,0.925,0.10748577277234321,0.09842482419854386,0.10748542731549517,-0.00906060311695129,0,0,1.0008749774577788
4,Normal (NG),phi22,Exponential,++,100,0.3,A,200,200,-0.10307813164205694,0.92,0.11003420974663766,0.097385161999721,0.10201720991536818,-0.00463204791564718,0,0,1.0008749774577788
4,Normal (NG),rho,Exponential,++,100,0.3,A,200,200,-0.1717971034279618,0.915,0.11000042207202954,0.09219986549285356,0.0971792716008061,-0.00497940610795254,0,0,1.0008749774577788
4,Normal (NG),sigma[1],Exponential,++,100,0.3,A,200,200,-0.00673944316521804,0.675,0.13936179138270852,0.0720193965194057,0.13919873851159847,-0.06717934199219278,0,0,1.0008749774577788
4,Normal (NG),sigma[2],Exponential,++,100,0.3,A,200,200,-5.366554726413775e-4,0.685,0.13002894616865715,0.07253162086058762,0.13002783872169538,-0.05749621786110776,0,0,1.0008749774577788
5,Exponential (EG),mu[1],Exponential,--,100,0.3,A,200,200,-0.00574573692483317,0.935,0.09794359978826107,0.09913054893296068,0.09777492135856548,0.00135562757439518,0,0,1.0019066001212165
5,Exponential (EG),mu[2],Exponential,--,100,0.3,A,200,200,-0.01027679316164428,0.965,0.09387045443075846,0.09962666521013556,0.09330621489134516,0.0063204503187904,0,0,1.0019066001212165
5,Exponential (EG),phi11,Exponential,--,100,0.3,A,200,200,-0.00253798740829689,0.955,0.023656029135951245,0.02154689198552571,0.02363423562689148,-0.00208734364136577,0,0,1.0019066001212165
5,Exponential (EG),phi12,Exponential,--,100,0.3,A,200,200,0.01332115905169152,0.945,0.022219651070048294,0.0221001419076465,0.02217968351645022,-7.954160880371819e-5,0,0,1.0019066001212165
5,Exponential (EG),phi21,Exponential,--,100,0.3,A,200,200,0.01081888800930907,0.95,0.025025700906734612,0.02221205569885219,0.02500230434371516,-0.00279024864486297,0,0,1.0019066001212165
5,Exponential (EG),phi22,Exponential,--,100,0.3,A,200,200,-0.00679672875692497,0.92,0.021583955490267787,0.02277282215125444,0.02141204920409598,0.00136077294715846,0,0,1.0019066001212165
5,Exponential (EG),rho,Exponential,--,100,0.3,A,200,200,-0.07983537055895375,0.935,0.09266222183795877,0.08972971501116274,0.08951343798917229,2.1627702199045196e-4,0,0,1.0019066001212165
5,Normal (NG),mu[1],Exponential,--,100,0.3,A,200,200,0.00637700926326141,0.945,0.1105887332283241,0.10280543692501316,0.11040471760709192,-0.00759928068207876,0,0,1.0008209938913473
5,Normal (NG),mu[2],Exponential,--,100,0.3,A,200,200,0.00100009314331778,0.94,0.1075796025920941,0.10283969406729834,0.1075749539046036,-0.00473525983730525,0,0,1.0008209938913473
5,Normal (NG),phi11,Exponential,--,100,0.3,A,200,200,-0.07831467939848903,0.975,0.09132489927043061,0.09605971120366572,0.0857841884339311,0.01027552276973461,0,0,1.0008209938913473
5,Normal (NG),phi12,Exponential,--,100,0.3,A,200,200,-0.03518648387594751,0.95,0.1061880952358191,0.0980691092132645,0.10612978226367877,-0.00806067305041424,0,0,1.0008209938913473
5,Normal (NG),phi21,Exponential,--,100,0.3,A,200,200,-0.08436044123899536,0.955,0.09874108917292111,0.09766263796696448,0.09838005819572572,-7.174202287612425e-4,0,0,1.0008209938913473
5,Normal (NG),phi22,Exponential,--,100,0.3,A,200,200,-0.1102358411921211,0.965,0.09735224786960134,0.09693067964673184,0.0867937189889382,0.01013696065779362,0,0,1.0008209938913473
5,Normal (NG),rho,Exponential,--,100,0.3,A,200,200,-0.225582297334102,0.89,0.11701320543250272,0.09318912337812114,0.09545798388422666,-0.00226886050610551,0,0,1.0008209938913473
5,Normal (NG),sigma[1],Exponential,--,100,0.3,A,200,200,-8.363513255256427e-4,0.655,0.14299294468199877,0.07255946459453351,0.1429904987937641,-0.0704310341992306,0,0,1.0008209938913473
5,Normal (NG),sigma[2],Exponential,--,100,0.3,A,200,200,0.00168596778308492,0.7,0.13783351921036702,0.07268216286364745,0.13782320751799754,-0.06514104465435008,0,0,1.0008209938913473
6,Exponential (EG),mu[1],Exponential,+-,100,0.3,A,200,200,0.00576104915587165,0.985,0.08736223257482806,0.09947417254947054,0.08717207117581857,0.01230210137365196,0,0,1.0018109106596012
6,Exponential (EG),mu[2],Exponential,+-,100,0.3,A,200,200,-0.0198362831397383,0.94,0.10005633260321724,0.10078768165025524,0.0980703398852363,0.00271734176501894,0,0,1.0018109106596012
6,Exponential (EG),phi11,Exponential,+-,100,0.3,A,200,200,-0.00905556302370523,0.945,0.020660182123956605,0.02201323534366381,0.02034017231802249,0.00167306302564132,0,0,1.0018109106596012
6,Exponential (EG),phi12,Exponential,+-,100,0.3,A,200,200,-0.00905197263742094,0.955,0.022654356558576606,0.02046260422171295,0.02263626490825809,-0.00217366068654514,0,0,1.0018109106596012
