condition_id,model,param,T,tvp_pattern,margin_type,direction,VARset,N_valid,mean_bias,mean_rel_bias,coverage_95,mean_post_sd,emp_sd,sd_bias,RMSE,mean_n_div,prop_div,mean_rhat
2,TVP_NG,mu[2],200,constant,normal,++,A,200,-0.002292770199902129,-0.002292770199902129,0.945,0.07183066744239709,0.06991890086252507,0.0019117665798720207,0.06978156081318367,NA,NA,1.004550855626034
2,TVP_NG,phi11,200,constant,normal,++,A,200,-0.016559552106440212,-0.04139888026610053,0.935,0.07569678001985061,0.07781239687978492,-0.002115616859934305,0.07936443806014243,NA,NA,1.004550855626034
2,TVP_NG,phi12,200,constant,normal,++,A,200,5.095421656220581e-4,0.005095421656220588,0.96,0.07609964896554756,0.07842197262299613,-0.002322323657448569,0.07822733150472469,NA,NA,1.004550855626034
2,TVP_NG,phi21,200,constant,normal,++,A,200,-0.010631605728975703,-0.10631605728975702,0.91,0.07582613419598096,0.08141143750989105,-0.005585303313910092,0.08190063544940387,NA,NA,1.004550855626034
2,TVP_NG,phi22,200,constant,normal,++,A,200,-0.009402490737530947,-0.023506226843827364,0.95,0.0758595816324444,0.07820144278666065,-0.0023418611542162515,0.0785703198269877,NA,NA,1.004550855626034
2,TVP_NG,rho_change,200,constant,normal,++,A,200,NA,NA,NA,0.16774724884747783,0.10520931804641077,0.06253793080106705,NA,NA,NA,1.004550855626034
2,TVP_NG,rho_end,200,constant,normal,++,A,200,-0.01283312421388228,-0.02566624842776456,1,0.1211800745598054,0.08658335974792267,0.03459671481188273,0.08731485481520848,NA,NA,1.004550855626034
2,TVP_NG,rho_mean,200,constant,normal,++,A,200,-0.012157012100676004,-0.024314024201352008,0.95,0.054333697016295646,0.05393539962736465,3.9829738893099736e-4,0.05515682314559724,NA,NA,1.004550855626034
2,TVP_NG,rho_range,200,constant,normal,++,A,200,0.3132868017632213,0.3132868017632213,0,0.21565845868997763,0.09814250410885818,0.11751595458111945,0.3282261590979936,NA,NA,1.004550855626034
2,TVP_NG,rho_sd,200,constant,normal,++,A,200,0.07312380915869703,0.07312380915869703,0,0.049052415930618314,0.023227340390111328,0.025825075540506986,0.07670660506610659,NA,NA,1.004550855626034
2,TVP_NG,rho_start,200,constant,normal,++,A,200,-0.026310462242318273,-0.052620924484636546,1,0.12371866074320018,0.07885225380695157,0.044866406936248604,0.08293871209627134,NA,NA,1.004550855626034
2,TVP_NG,sigma[1],200,constant,normal,++,A,200,0.009393078325348095,0.009393078325348095,0.965,0.05105835073302978,0.050034441940996065,0.0010239087920337134,0.05078541201832762,NA,NA,1.004550855626034
2,TVP_NG,sigma[2],200,constant,normal,++,A,200,0.006518941341352416,0.006518941341352416,0.97,0.05097634713885691,0.048172173672804006,0.0028041734660529047,0.04849177374558464,NA,NA,1.004550855626034
2,TVP_NG,sigma_z,200,constant,normal,++,A,200,NA,NA,NA,0.0206338247648484,0.008579210054576479,0.01205461471027192,NA,NA,NA,1.004550855626034
2,TVP_NG,z0,200,constant,normal,++,A,200,NA,NA,NA,0.16174958634025371,0.10443244587300526,0.05731714046724845,NA,NA,NA,1.004550855626034
3,Const_NG,mu[1],100,linear,normal,++,A,200,0.0015876070036322828,0.0015876070036322828,0.935,0.10262773769790388,0.11388805645898821,-0.011260318761084326,0.11361407242495816,NA,NA,1.0012924113165742
3,Const_NG,mu[2],100,linear,normal,++,A,200,0.005577078810930354,0.005577078810930354,0.935,0.10255729340782005,0.10857708848544266,-0.006019795077622611,0.10844880373392367,NA,NA,1.0012924113165742
3,Const_NG,phi11,100,linear,normal,++,A,200,-0.042062614444221116,-0.10515653611055278,0.945,0.10026281485586253,0.09167379017242357,0.008589024683438959,0.10065449279310813,NA,NA,1.0012924113165742
3,Const_NG,phi12,100,linear,normal,++,A,200,0.007484343444830878,0.07484343444830878,0.94,0.10074991568371752,0.09603686401372721,0.004713051669990309,0.09608839290020081,NA,NA,1.0012924113165742
3,Const_NG,phi21,100,linear,normal,++,A,200,-0.012862079824693673,-0.12862079824693673,0.945,0.10032122405956831,0.10746622222130403,-0.007144998161735722,0.10796609222965745,NA,NA,1.0012924113165742
3,Const_NG,phi22,100,linear,normal,++,A,200,-0.031342004766132824,-0.07835501191533205,0.965,0.10011313402453728,0.09418120538171758,0.005931928642819703,0.09903570170740345,NA,NA,1.0012924113165742
3,Const_NG,rho,100,linear,normal,++,A,200,-0.0302992224314677,-0.08301156830539096,0.935,0.08756908940083936,0.0878657953626063,-2.967059617669382e-4,0.09273531627530822,NA,NA,1.0012924113165742
3,Const_NG,sigma[1],100,linear,normal,++,A,200,0.0019482955445820976,0.0019482955445820976,0.96,0.0727142689879394,0.06984181833728016,0.0028724506506592334,0.06969423251778725,NA,NA,1.0012924113165742
3,Const_NG,sigma[2],100,linear,normal,++,A,200,-0.0014647276996818598,-0.0014647276996818598,0.965,0.0723810273129564,0.06804725975042006,0.004333767562536339,0.06789273038387576,NA,NA,1.0012924113165742
3,TVP_NG,mu[1],100,linear,normal,++,A,200,3.3036383067125636e-4,3.3036383067125636e-4,0.925,0.10283613494373717,0.11408236951806308,-0.011246234574325914,0.11379728573187599,NA,NA,1.0028299194408736
3,TVP_NG,mu[2],100,linear,normal,++,A,200,0.006321573964987837,0.006321573964987837,0.95,0.102650696780789,0.10812281327133011,-0.005472116490541107,0.10803727288928203,NA,NA,1.0028299194408736
3,TVP_NG,phi11,100,linear,normal,++,A,200,-0.04263937722686066,-0.10659844306715165,0.95,0.10033255686453356,0.09171248229613517,0.00862007456839839,0.10093185821220589,NA,NA,1.0028299194408736
