condition_id,model,param,T,tvp_pattern,N,mean_estimate,mean_truth,mean_bias,coverage_95,RMSE
9,TVP_EG,rho_start,100,constant,200,0.49588122704321375,0.5,-0.0041187729567862714,1,0.11155830429427795
9,TVP_NG,rho_end,100,constant,200,0.4539831906888541,0.5,-0.0460168093111459,0.96,0.1798160774490812
9,TVP_NG,rho_mean,100,constant,200,0.4544880146208213,0.5,-0.04551198537917875,0.855,0.1132672867426494
9,TVP_NG,rho_range,100,constant,200,0.6219071843215088,0,0.6219071843215088,0,0.6558460371303065
9,TVP_NG,rho_sd,100,constant,200,0.15414608412856395,0,0.15414608412856395,0,0.16337133589391026
9,TVP_NG,rho_start,100,constant,200,0.41123863293888113,0.5,-0.08876136706111885,0.96,0.18932472809783588
10,TVP_EG,rho_end,200,constant,200,0.5217220713264142,0.5,0.021722071326414242,0.99,0.0860281303680973
10,TVP_EG,rho_mean,200,constant,200,0.5215356708284266,0.5,0.021535670828426563,0.92,0.05419153297240985
10,TVP_EG,rho_range,200,constant,200,0.3231781131601018,0,0.3231781131601018,0,0.3407215458006461
10,TVP_EG,rho_sd,200,constant,200,0.07553405346450917,0,0.07553405346450917,0,0.07994437583503199
10,TVP_EG,rho_start,200,constant,200,0.5001110338895896,0.5,1.1103388958959599e-4,1,0.0836298311961094
10,TVP_NG,rho_end,200,constant,200,0.46034405197557954,0.5,-0.03965594802442047,0.98,0.17336597172174023
10,TVP_NG,rho_mean,200,constant,200,0.4663475931619485,0.5,-0.03365240683805148,0.83,0.08269648723443501
10,TVP_NG,rho_range,200,constant,200,0.6710217794268907,0,0.6710217794268907,0,0.7182615884735849
10,TVP_NG,rho_sd,200,constant,200,0.15446642522157497,0,0.15446642522157497,0,0.16524803900236
10,TVP_NG,rho_start,200,constant,200,0.43237686615736454,0.5,-0.06762313384263544,0.975,0.17539080770937543
11,TVP_EG,rho_end,100,linear,200,0.30160328156167643,0.2,0.1016032815616764,0.975,0.18196573893090529
11,TVP_EG,rho_mean,100,linear,200,0.393333116091379,0.365,0.028333116091379035,0.945,0.09190142984284486
11,TVP_EG,rho_range,100,linear,200,0.5387573873387335,0.33,0.2087573873387334,0.995,0.2755956629465234
11,TVP_EG,rho_sd,100,linear,200,0.1378435948639814,0.09670497325294004,0.041138621611041364,0.995,0.0655243781491864
11,TVP_EG,rho_start,100,linear,200,0.46131384795408276,0.53,-0.06868615204591728,1,0.12931981064602469
11,TVP_NG,rho_end,100,linear,200,0.22171182692944597,0.2,0.02171182692944596,0.99,0.17973829900813393
11,TVP_NG,rho_mean,100,linear,200,0.33215127797371247,0.365,-0.032848722026287504,0.94,0.10463608006062187
11,TVP_NG,rho_range,100,linear,200,0.681961739389521,0.33,0.3519617393895209,0.925,0.41673900642398914
11,TVP_NG,rho_sd,100,linear,200,0.17473412997488097,0.09670497325294004,0.07802915672194094,0.945,0.1001277015121583
11,TVP_NG,rho_start,100,linear,200,0.3977541793115875,0.53,-0.1322458206884125,0.94,0.2056393762916136
12,TVP_EG,rho_end,200,linear,200,0.2877679877961785,0.2,0.08776798779617848,0.96,0.159676016871683
12,TVP_EG,rho_mean,200,linear,200,0.4208207847326078,0.399,0.021820784732607786,0.935,0.062628965311051
12,TVP_EG,rho_range,200,linear,200,0.5437167048020358,0.39799999999999996,0.14571670480203588,0.96,0.24457389797543538
12,TVP_EG,rho_sd,200,linear,200,0.13401464975290314,0.11575836902790225,0.0182562807250009,0.975,0.055925944194018286
12,TVP_EG,rho_start,200,linear,200,0.5284155296946127,0.598,-0.06958447030538731,0.96,0.11406594216100843
12,TVP_NG,rho_end,200,linear,200,0.226348971654388,0.2,0.026348971654387994,0.965,0.18942486744215
12,TVP_NG,rho_mean,200,linear,200,0.370813215032709,0.399,-0.028186784967291045,0.9,0.07936501658061448
12,TVP_NG,rho_range,200,linear,200,0.7854011325134564,0.39799999999999996,0.3874011325134565,0.79,0.4762677052086318
12,TVP_NG,rho_sd,200,linear,200,0.18981531355034945,0.11575836902790225,0.07405694452244721,0.845,0.10146708979593616
12,TVP_NG,rho_start,200,linear,200,0.47358605183919983,0.598,-0.12441394816080016,0.895,0.1916016666927612
13,TVP_EG,rho_end,100,step,200,0.7055327375036172,0.7,0.0055327375036172835,0.995,0.08939768964217723
13,TVP_EG,rho_mean,100,step,200,0.6354652228619265,0.6,0.0354652228619266,0.91,0.06756845530032878
13,TVP_EG,rho_range,100,step,200,0.6089739462426713,0.39999999999999997,0.20897394624267138,0.895,0.3144404325780505
13,TVP_EG,rho_sd,100,step,200,0.15599544426352263,0.17407765595569782,-0.018082211692175207,0.97,0.06822692302453712
13,TVP_EG,rho_start,100,step,200,0.3787522526127248,0.3,0.07875225261272484,0.975,0.19688958010824
13,TVP_NG,rho_end,100,step,200,0.6616702013751505,0.7,-0.038329798624849365,0.965,0.16169194415230856
13,TVP_NG,rho_mean,100,step,200,0.5777357654567925,0.6,-0.022264234543207428,0.91,0.0780243019718616
13,TVP_NG,rho_range,100,step,200,0.8553042877816499,0.39999999999999997,0.45530428778164994,0.64,0.5227756997212
13,TVP_NG,rho_sd,100,step,200,0.2181640638866755,0.17407765595569782,0.04408640793097768,0.895,0.08552519926667004
13,TVP_NG,rho_start,100,step,200,0.27307718180976515,0.3,-0.026922818190234832,0.995,0.2043054055293032
14,TVP_EG,rho_end,200,step,200,0.698358642814785,0.7,-0.0016413571852149117,1,0.07063852503475594
14,TVP_EG,rho_mean,200,step,200,0.5781641368108461,0.5499999999999999,0.028164136810846157,0.925,0.051415481185576956
14,TVP_EG,rho_range,200,step,200,0.7099769661437618,0.39999999999999997,0.30997696614376186,0.685,0.35256804573939426
14,TVP_EG,rho_sd,200,step,200,0.1852694947546441,0.19413511328725486,-0.008865618532610744,0.985,0.04974925919290519
14,TVP_EG,rho_start,200,step,200,0.3309476245806138,0.3,0.030947624580613807,0.99,0.13668676164873353
14,TVP_NG,rho_end,200,step,200,0.6480295372357141,0.7,-0.051970462764285894,0.96,0.14930822894681842
14,TVP_NG,rho_mean,200,step,200,0.540676905793928,0.5499999999999999,-0.009323094206071898,0.91,0.060111973596112867
14,TVP_NG,rho_range,200,step,200,0.976455846566527,0.39999999999999997,0.576455846566527,0.315,0.6126086331260617
14,TVP_NG,rho_sd,200,step,200,0.24198510696904943,0.19413511328725486,0.04784999368179457,0.85,0.07232842984064106
14,TVP_NG,rho_start,200,step,200,0.280757460578573,0.3,-0.019242539421427025,0.985,0.18513794327523853
15,TVP_EG,rho_end,100,random_walk,200,0.4313091971415762,0.39831344693091786,0.03299575021065834,0.945,0.16915850543455452
15,TVP_EG,rho_mean,100,random_walk,200,0.44147206359926366,0.4235504290495541,0.01792163454970958,0.895,0.08374486833726988
15,TVP_EG,rho_range,100,random_walk,200,0.5100336817538191,0.49799640130095807,0.0120372804528611,0.99,0.19999239688314405
15,TVP_EG,rho_sd,100,random_walk,200,0.13075960189975544,0.13046983019682362,2.897717029318423e-4,0.985,0.057458282745174345
15,TVP_EG,rho_start,100,random_walk,200,0.42831171930298634,0.46055446483962725,-0.032242745536640936,0.955,0.19015489910399785
15,TVP_NG,rho_end,100,random_walk,200,0.40378881070151196,0.39831344693091786,0.0054753637705941055,0.91,0.19817771619095023
