condition_id,Model,param,mcmc_status,skew_level,direction,T,rho,VARset,N_valid,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias
90,SG,mu[1],Problematic,extremeCHI,+-,50,0.5,B,197,0.2532235404049656,0.39593908629441626,0.3347774033209418,0.1146434333321027,0.21898344311633997,-0.10434000978423727
90,SG,mu[2],Clean,extremeCHI,+-,50,0.5,B,3,-0.17057265001009603,0.6666666666666666,0.2146835579645048,0.10764637605106869,0.1303610414534656,-0.022714665402396916
90,SG,mu[2],Problematic,extremeCHI,+-,50,0.5,B,197,-0.20053860200657642,0.5380710659898477,0.2854185205504431,0.10895709717896161,0.20309603880541754,-0.09413894162645593
90,SG,phi11,Clean,extremeCHI,+-,50,0.5,B,3,-0.03855587202696415,1,0.021807449944049283,0.06117487224664057,0.00508742612378056,0.056087446122860006
90,SG,phi11,Problematic,extremeCHI,+-,50,0.5,B,197,-0.04353261064519005,1,0.0396089108747336,0.055579453970405625,0.031553155837933416,0.02402629813247221
90,SG,phi12,Clean,extremeCHI,+-,50,0.5,B,3,0.26938493150096054,1,0.0270067354129883,0.06108700849960739,0.0019186830038816721,0.05916832549572572
90,SG,phi12,Problematic,extremeCHI,+-,50,0.5,B,197,0.08284725635829039,0.9949238578680203,0.04258419576605194,0.06687041544880168,0.04177052848816344,0.025099886960638237
90,SG,phi21,Clean,extremeCHI,+-,50,0.5,B,3,0.161365458217013,1,0.06682908519448717,0.05494864027539686,0.06485166549038011,-0.009903025214983256
90,SG,phi21,Problematic,extremeCHI,+-,50,0.5,B,197,0.07959293148805331,0.9949238578680203,0.03323401509533855,0.051846924786237494,0.03226684694742532,0.019580077838812174
90,SG,phi22,Clean,extremeCHI,+-,50,0.5,B,3,-0.207752387955918,1,0.05840417749787597,0.0648361301116686,0.026711084410161273,0.03812504570150732
90,SG,phi22,Problematic,extremeCHI,+-,50,0.5,B,197,-0.12897387460272577,0.9949238578680203,0.048888959121348746,0.06393761237169002,0.0367490007121477,0.027188611659542318
90,SG,rho,Clean,extremeCHI,+-,50,0.5,B,3,-1.7825767964095007,0,0.8939690064033429,0.09534160377959142,0.0691778550938846,0.02616374868570681
90,SG,rho,Problematic,extremeCHI,+-,50,0.5,B,197,-1.7841329627421818,0,0.8990994179200604,0.09276598424753499,0.11223705323284552,-0.019471068985310536
91,NG,sigma[1],Clean,moderateSN,++,100,0.5,B,200,-0.006575360209437978,0.95,0.07793910063521688,0.07161476253697452,0.07766123901884778,-0.006046476481873259
91,NG,sigma[2],Clean,moderateSN,++,100,0.5,B,200,0.011648391001764544,0.905,0.08222084473573482,0.07296936381192488,0.08139153700556234,-0.008422173193637458
91,NG,mu[1],Clean,moderateSN,++,100,0.5,B,200,-0.001827181221453637,0.935,0.11977314317795035,0.10234477530016674,0.11975920522243691,-0.017414429922270172
91,NG,mu[2],Clean,moderateSN,++,100,0.5,B,200,0.008479255565284491,0.935,0.11151043484206122,0.10419519695773553,0.11118758610440364,-0.00699238914666811
91,NG,phi11,Clean,moderateSN,++,100,0.5,B,200,-0.0853086276707339,0.96,0.09757590138785834,0.09559881906815498,0.0855546260598819,0.010044193008273083
91,NG,phi12,Clean,moderateSN,++,100,0.5,B,200,0.004493525816811765,0.96,0.11015333428145657,0.10887665248605963,0.11015241774731797,-0.0012757652612583464
91,NG,phi21,Clean,moderateSN,++,100,0.5,B,200,-0.126178522030686,0.975,0.078581576553396107,0.09765751794417409,0.07756193640825872,0.02009558153591537
91,NG,phi22,Clean,moderateSN,++,100,0.5,B,200,-0.10687927701084717,0.93,0.11524011675627753,0.11041580674801343,0.11209966890719567,-0.0016838621591822311
91,NG,rho,Clean,moderateSN,++,100,0.5,B,200,-0.08000037205556743,0.925,0.0861610296625413,0.07869735053669934,0.07631322395399122,0.002384126582708118
91,SG,omega[1],Clean,moderateSN,++,100,0.5,B,174,-0.17379578316818345,0.7298850574712644,0.342480676032816,0.1891416616876829,0.20478439930522238,-0.01564273761753948
91,SG,omega[1],Problematic,moderateSN,++,100,0.5,B,26,-0.08309141590152933,0.8846153846153846,0.24700592685379144,0.1818612595011655,0.20925377910576948,-0.027392519604603982
91,SG,omega[2],Clean,moderateSN,++,100,0.5,B,174,-0.14116432494016054,0.7931034482758621,0.3092406241079648,0.18937039040623155,0.21427625594631264,-0.02490586554008109
91,SG,omega[2],Problematic,moderateSN,++,100,0.5,B,26,-0.06712398497234635,0.8846153846153846,0.23873811110595405,0.17802985717128475,0.21390440241143255,-0.0358745452401478
91,SG,alpha[1],Clean,moderateSN,++,100,0.5,B,174,-0.39664539449600666,0.7241379310344828,2.4567294980793886,1.8287318865060738,1.8757075260112173,-0.046975639505143496
91,SG,alpha[1],Problematic,moderateSN,++,100,0.5,B,26,0.15012372164020799,0.8461538461538461,3.6085134562686236,5.676883927037496,3.558198315901746,2.1186856111357497
91,SG,alpha[2],Clean,moderateSN,++,100,0.5,B,174,-0.32986641814112383,0.7528735632183908,2.2697155030180243,2.0136800674995308,1.8467860741201962,0.16689399337933453
