Model,param,skew_level,direction,T,rho,VARset,N_valid,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias,mean_bias
NG,phi22,moderateSN,--,50,0.3,A,200,-0.22729969162226224,0.91,0.16399416871844016,0.14025833587638167,0.1364831982472573,0.0037751376291243754,-0.0909198766489049
NG,rho,moderateSN,--,50,0.3,A,200,-0.15325206129700114,0.945,0.1369267667655139,0.12784799256197688,0.12897744752706677,-0.0011294549650898988,-0.04597561838910034
NG,sigma[1],moderateSN,--,50,0.5,A,200,0.007086086997913658,0.94,0.11020901605869975,0.10449013604569857,0.10998097377130618,-0.005490837725607614,0.007086086997913658
NG,sigma[2],moderateSN,--,50,0.5,A,200,0.0035442241572640567,0.9,0.12076428711426482,0.10412254800269907,0.1207122674683052,-0.016589719465606126,0.0035442241572640567
NG,mu[1],moderateSN,--,50,0.5,A,200,-0.010041235748391636,0.905,0.16483160130616561,0.14913649970040874,0.16452547028894937,-0.015388970588540635,-0.010041235748391636
NG,mu[2],moderateSN,--,50,0.5,A,200,-0.005786326404489089,0.92,0.16470185202282853,0.14856013712865332,0.16460017766239018,-0.016040040533736866,-0.005786326404489089
NG,phi11,moderateSN,--,50,0.5,A,200,-0.13015341359129995,0.96,0.14295919234868043,0.148505318113289,0.13314257360390827,0.015362744509380716,-0.05206136543651998
NG,phi12,moderateSN,--,50,0.5,A,200,-0.33676583302120183,0.96,0.14729598912112135,0.14967810044046387,0.14339454713574315,0.006283553304720718,-0.033676583302120186
NG,phi21,moderateSN,--,50,0.5,A,200,0.06948588622501507,0.975,0.14641996833381926,0.14904068852264887,0.14625499732669608,0.0027856911959527886,0.006948588622501507
NG,phi22,moderateSN,--,50,0.5,A,200,-0.1839078165107529,0.935,0.16641910776148694,0.14805260996397784,0.14927754630998247,-0.0012249363460046236,-0.07356312660430116
NG,rho,moderateSN,--,50,0.5,A,200,-0.12525265845414946,0.915,0.13513554897791427,0.11272823900186768,0.11974789971061836,-0.00701966070875068,-0.06262632922707473
NG,sigma[1],moderateSN,--,50,0.3,B,200,0.0135549380350109,0.94,0.11790251730068088,0.10639102423704443,0.11712073787636572,-0.010729713639321292,0.0135549380350109
NG,sigma[2],moderateSN,--,50,0.3,B,200,0.009301511212274089,0.925,0.11033692173861519,0.10593213276689796,0.10994415940795232,-0.004012026641054364,0.009301511212274089
NG,mu[1],moderateSN,--,50,0.3,B,200,-0.012828757273607045,0.89,0.1905936050580967,0.1517724198315811,0.19016136641246723,-0.038388946580886124,-0.012828757273607045
NG,mu[2],moderateSN,--,50,0.3,B,200,-0.0013253372807845534,0.96,0.15355025190715738,0.15120146724257374,0.15354453211314184,-0.0023430648705680956,-0.0013253372807845534
