Model,param,mcmc_status,skew_level,direction,T,rho,VARset,N_valid,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias
NG,phi11,Clean,strongSN,++,50,0.3,A,200,-0.17021173053914201,0.935,0.1521609492557798,0.13890393738162088,0.13607876088618415,0.002825176495436732
NG,phi12,Clean,strongSN,++,50,0.3,A,200,-0.20463418657903729,0.935,0.14896052096519827,0.14242852680647916,0.14754824737371378,-0.005119720567234615
NG,phi21,Clean,strongSN,++,50,0.3,A,200,0.03134324360281531,0.965,0.1196142779267239,0.1376507979985198,0.11957320558861043,0.018077592409909388
NG,phi22,Clean,strongSN,++,50,0.3,A,200,-0.19568233597996984,0.94,0.148811025659328,0.13916542006149973,0.126562510639797,0.012602909421702724
NG,rho,Clean,strongSN,++,50,0.3,A,200,-0.1645703142104343,0.97,0.12493960345206101,0.12819831931982964,0.11477107458771726,0.013427244732112376
SG,omega[1],Clean,strongSN,++,50,0.3,A,63,-0.2884536161098945,0.5714285714285714,0.5091152578548939,0.2072745987706754,0.18711423473424776,0.020160364036427625
SG,omega[1],Problematic,strongSN,++,50,0.3,A,137,-0.20887495483374027,0.7299270072992701,0.40485692390373085,0.22892370574607065,0.21530680070001526,0.013616905046055394
SG,omega[2],Clean,strongSN,++,50,0.3,A,63,-0.31653225871287216,0.47619047619047616,0.5455677647714285,0.2039104137932904,0.16639643848594327,0.037513975307347125
SG,omega[2],Problematic,strongSN,++,50,0.3,A,137,-0.23702501206132967,0.7007299270072993,0.43440583498935875,0.2225042761413235,0.19322591929118327,0.02927835685014024
SG,alpha[1],Clean,strongSN,++,50,0.3,A,63,-0.856539827998716,0.23809523809523808,7.812238119850546,2.276014579788699,1.266714572605972,1.0093000071827267
SG,alpha[1],Problematic,strongSN,++,50,0.3,A,137,-0.5838662374766551,0.6204379562043796,6.423973628416659,7.093654880415198,3.6952069947590065,3.398447885656192
SG,alpha[2],Clean,strongSN,++,50,0.3,A,63,-0.8827553942360123,0.2222222222222222,7.9975739585922545,2.284769786308494,0.9172596431098488,1.3675101431986454
SG,alpha[2],Problematic,strongSN,++,50,0.3,A,137,-0.6524285353664891,0.5620437956204379,6.745783148409593,5.5828371002588995,3.3206758033221813,2.262161296936718
SG,mu[1],Clean,strongSN,++,50,0.3,A,63,0.047833074440476915,0.9047619047619048,0.19017190994004846,0.14512505360636288,0.18405801346265174,-0.03893295985628886
SG,mu[1],Problematic,strongSN,++,50,0.3,A,137,0.018203751101222642,0.9343065693430657,0.1579928380590704,0.14426832088835767,0.15694062674720138,-0.012672305858843713
SG,mu[2],Clean,strongSN,++,50,0.3,A,63,0.006965922439298897,0.9365079365079365,0.16159866306606713,0.14308411161855797,0.1614484556423813,-0.018364344023823337
SG,mu[2],Problematic,strongSN,++,50,0.3,A,137,0.011294617190793905,0.948905109489051,0.13643915383877714,0.14299640105295713,0.13597085835852812,0.00702554269442901
SG,phi11,Clean,strongSN,++,50,0.3,A,63,-0.17205059430320235,0.873015873015873,0.16369510131071788,0.133392629175625,0.14852562429800648,-0.015132995122381476
SG,phi11,Problematic,strongSN,++,50,0.3,A,137,-0.1357251452305761,0.9708029197080292,0.12568296568791085,0.1271068443999855,0.11335253617123359,0.013754308228751927
