condition_id,Model,param,T,theta,N_valid,N_truth_avail,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias,mean_n_div,prop_div,mean_rhat
2,Normal-Gaussian (NG),phi11,100,0.5,200,200,-0.117100240913118,0.925,0.1141053045708969,0.09854581472359666,0.10404819029522572,-0.00550237557162905,0,0,1.0008102622168364
2,Normal-Gaussian (NG),phi12,100,0.5,200,200,-1.024868876360552e-4,0.945,0.10051686580655032,0.0991797613036496,0.10051686528407272,-0.00133710398042313,0,0,1.0008102622168364
2,Normal-Gaussian (NG),phi21,100,0.5,200,200,-0.11555927719048656,0.975,0.10029636978367001,0.0984987198991881,0.09962842127794055,-0.00112970137875247,0,0,1.0008102622168364
2,Normal-Gaussian (NG),phi22,100,0.5,200,200,-0.10097972140521425,0.96,0.0996977808964335,0.09857880745222392,0.09114901455342954,0.00742979289879439,0,0,1.0008102622168364
2,Normal-Gaussian (NG),rho,100,0.5,200,0,NA,NA,NA,0.0900914189030794,0.0964024804211822,-0.00631106151810281,0,0,1.0008102622168364
2,Normal-Gaussian (NG),sigma[1],100,0.5,200,200,0.01041718857575273,0.945,0.07706236975357021,0.07324871189297999,0.07635503267115522,-0.00310632077817522,0,0,1.0008102622168364
2,Normal-Gaussian (NG),sigma[2],100,0.5,200,200,0.00602450721343468,0.94,0.07270212006911086,0.07290731050773125,0.07245207778510349,4.5523272262776304e-4,0,0,1.0008102622168364
3,Normal-Clayton (NC),mu[1],200,0.5,200,200,-0.00368156402865051,0.945,0.07711416669973968,0.07172385483250213,0.07702623444059944,-0.00530237960809731,0,0,1.000799396439034
3,Normal-Clayton (NC),mu[2],200,0.5,200,200,0.00117618645760652,0.97,0.06832632985787242,0.07172895045490914,0.06831620552448542,0.00341274493042371,0,0,1.000799396439034
3,Normal-Clayton (NC),phi11,200,0.5,200,200,-0.03751443774162378,0.96,0.06167777925102224,0.06745860605329253,0.05982453649704779,0.00763406955624473,0,0,1.000799396439034
3,Normal-Clayton (NC),phi12,200,0.5,200,200,0.02260127710886962,0.93,0.06836969356328591,0.06785987134566474,0.06833232632267176,-4.72454977007028e-4,0,0,1.000799396439034
3,Normal-Clayton (NC),phi21,200,0.5,200,200,-0.01651357653501733,0.965,0.06395794450823739,0.06743944411681826,0.06393662239764464,0.00350282171917362,0,0,1.000799396439034
3,Normal-Clayton (NC),phi22,200,0.5,200,200,-0.03995300691099995,0.935,0.06942487050023936,0.06756253956025601,0.06756044554455026,2.094015705750296e-6,0,0,1.000799396439034
3,Normal-Clayton (NC),sigma[1],200,0.5,200,200,0.00531863948966927,0.945,0.053153706524062726,0.0502181500409499,0.05288694159454788,-0.00266879155359798,0,0,1.000799396439034
3,Normal-Clayton (NC),sigma[2],200,0.5,200,200,0.0052565296857608,0.93,0.050096233857772184,0.05015094147578202,0.04981969030810324,3.3125116767877827e-4,0,0,1.000799396439034
3,Normal-Clayton (NC),theta,200,0.5,200,200,0.04237032188621016,0.96,0.11710559647411778,0.12292177998493156,0.11517338964089596,0.00774839034403558,0,0,1.000799396439034
3,Normal-Gaussian (NG),mu[1],200,0.5,200,200,-0.00161995591345897,0.945,0.0772368048702557,0.07187867487764263,0.0772198146164856,-0.00534113973884296,0,0,1.000747479618611
3,Normal-Gaussian (NG),mu[2],200,0.5,200,200,0.00366949281604079,0.965,0.06873843399133185,0.07184564166418493,0.0686404190696248,0.00320522259456013,0,0,1.000747479618611
3,Normal-Gaussian (NG),phi11,200,0.5,200,200,-0.03607466593804537,0.96,0.06342473802752313,0.0694038919937411,0.06176144711916397,0.00764244487457713,0,0,1.000747479618611
3,Normal-Gaussian (NG),phi12,200,0.5,200,200,0.01144946332386792,0.94,0.06880051023831954,0.06979505449977179,0.06879098274446344,0.00100407175530835,0,0,1.000747479618611
3,Normal-Gaussian (NG),phi21,200,0.5,200,200,-0.0089016500401064,0.975,0.0639846678472833,0.06943545440300221,0.06397847548818902,0.00545697891481318,0,0,1.000747479618611
3,Normal-Gaussian (NG),phi22,200,0.5,200,200,-0.04349771932065793,0.94,0.07122249793304432,0.06953718462361545,0.06906457817178575,4.72606451829699e-4,0,0,1.000747479618611
3,Normal-Gaussian (NG),rho,200,0.5,200,0,NA,NA,NA,0.06340376255605573,0.07087461947159297,-0.00747085691553724,0,0,1.000747479618611
3,Normal-Gaussian (NG),sigma[1],200,0.5,200,200,0.00407444384601188,0.94,0.05461432216618955,0.0508390981103222,0.05446212530757535,-0.00362302719725314,0,0,1.000747479618611
3,Normal-Gaussian (NG),sigma[2],200,0.5,200,200,0.00363248491721629,0.93,0.05074824376804286,0.05078367771767424,0.050618072848212,1.6560486946223807e-4,0,0,1.000747479618611
4,Normal-Clayton (NC),mu[1],50,1,200,200,0.01365577305103107,0.925,0.16828068738221655,0.1473209285193319,0.1677256975189253,-0.02040476899959339,0,0,1.0010856683276843
4,Normal-Clayton (NC),mu[2],50,1,200,200,0.00856803084333746,0.925,0.16773007783014307,0.14772445411575752,0.1675110977110874,-0.01978664359532989,0,0,1.0010856683276843
4,Normal-Clayton (NC),phi11,50,1,200,200,-0.17561567101525308,0.965,0.14111688007562337,0.1438939141159298,0.12239050460430276,0.02150340951162703,0,0,1.0010856683276843
4,Normal-Clayton (NC),phi12,50,1,200,200,0.08631647163456342,0.98,0.1311401923030605,0.14352295498398554,0.13085581647190653,0.01266713851207901,0,0,1.0010856683276843
4,Normal-Clayton (NC),phi21,50,1,200,200,-0.02048595014071231,0.97,0.1400787960133269,0.14542755144593128,0.1400638152807911,0.00536373616514018,0,0,1.0010856683276843
4,Normal-Clayton (NC),phi22,50,1,200,200,-0.1969254113733668,0.955,0.1542576592363453,0.14475928412890157,0.13262988580989304,0.01212939831900852,0,0,1.0010856683276843
4,Normal-Clayton (NC),sigma[1],50,1,200,200,0.00247706828140754,0.95,0.09719030703291408,0.1012312419480792,0.09715873565398714,0.00407250629409206,0,0,1.0010856683276843
4,Normal-Clayton (NC),sigma[2],50,1,200,200,0.00512115764503653,0.975,0.09573100208574233,0.10125704373042016,0.09559392504084706,0.00566311868957311,0,0,1.0010856683276843
4,Normal-Clayton (NC),theta,50,1,200,200,-0.01382978129134284,0.975,0.31897318103929434,0.3407635587105556,0.3186732297695557,0.02209032894099988,0,0,1.0010856683276843
4,Normal-Gaussian (NG),mu[1],50,1,200,200,0.01402382170153284,0.915,0.17422193860758128,0.14850033980399502,0.1736566045880992,-0.02515626478410418,0,0,1.0009744010010213
4,Normal-Gaussian (NG),mu[2],50,1,200,200,0.01025101160574085,0.915,0.1719252887695536,0.14955713487744493,0.17161940939052714,-0.02206227451308221,0,0,1.0009744010010213
4,Normal-Gaussian (NG),phi11,50,1,200,200,-0.201938875944898,0.96,0.1516878698631892,0.14978363324809352,0.12839205709376883,0.02139157615432468,0,0,1.0009744010010213
4,Normal-Gaussian (NG),phi12,50,1,200,200,0.11188537841210464,0.965,0.13604841516571653,0.15049621492587298,0.13558756539623745,0.01490864952963552,0,0,1.0009744010010213
4,Normal-Gaussian (NG),phi21,50,1,200,200,-0.0488200479072533,0.97,0.14456642261284167,0.15153140740970678,0.14448396650250875,0.00704744090719802,0,0,1.0009744010010213
4,Normal-Gaussian (NG),phi22,50,1,200,200,-0.21236059004874328,0.965,0.16165797561394465,0.1507766483891469,0.13754191305439464,0.01323473533475225,0,0,1.0009744010010213
4,Normal-Gaussian (NG),rho,50,1,200,0,NA,NA,NA,0.11274684159576452,0.1255078676375028,-0.01276102604173828,0,0,1.0009744010010213
4,Normal-Gaussian (NG),sigma[1],50,1,200,200,-0.00297364988929573,0.945,0.10007642838463361,0.10349475294006934,0.10003223942590005,0.0034625135141693,0,0,1.0009744010010213
4,Normal-Gaussian (NG),sigma[2],50,1,200,200,0.00360499336211,0.97,0.0994149877132741,0.10426678745799454,0.0993496039493343,0.00491718350866024,0,0,1.0009744010010213
5,Normal-Clayton (NC),mu[1],100,1,200,200,-0.00258234991611615,0.92,0.10912186753101027,0.1018792596591612,0.1090913078222371,-0.00721204816307588,0,0,1.0009684133468906
5,Normal-Clayton (NC),mu[2],100,1,200,200,0.00130661417423317,0.93,0.10956447113698069,0.10212115356397374,0.10955667982795922,-0.00743552626398548,0,0,1.0009684133468906
5,Normal-Clayton (NC),phi11,100,1,200,200,-0.05876615283461314,0.965,0.09402981670816006,0.10005977847675568,0.09104423493628357,0.00901554354047212,0,0,1.0009684133468906
5,Normal-Clayton (NC),phi12,100,1,200,200,-0.00370550913726092,0.94,0.09487611785511614,0.1004357265689324,0.09487539423516628,0.00556033233376609,0,0,1.0009684133468906
5,Normal-Clayton (NC),phi21,100,1,200,200,-0.04475109332371405,0.94,0.10355508216456909,0.10051507861241692,0.1034583415611036,-0.00294326294868667,0,0,1.0009684133468906
5,Normal-Clayton (NC),phi22,100,1,200,200,-0.08769617508327793,0.975,0.09700818409143752,0.10114334808888276,0.09044384291282807,0.01069950517605468,0,0,1.0009684133468906
5,Normal-Clayton (NC),sigma[1],100,1,200,200,0.00379377938894431,0.965,0.0700234115440751,0.06989723009402475,0.06992056494493541,-2.333485091066123e-5,0,0,1.0009684133468906
5,Normal-Clayton (NC),sigma[2],100,1,200,200,0.00574301512498357,0.95,0.07269625483101527,0.06996753842970305,0.07246905024719257,-0.00250151181748951,0,0,1.0009684133468906
5,Normal-Clayton (NC),theta,100,1,200,200,-0.02414719016526774,0.955,0.22176629051336466,0.23829201787314871,0.22044772807897217,0.0178442897941766,0,0,1.0009684133468906
5,Normal-Gaussian (NG),mu[1],100,1,200,200,-0.00234913805029418,0.915,0.10974154534926191,0.1027753884266477,0.10971639953108545,-0.00694101110443773,0,0,1.0009514756077995
5,Normal-Gaussian (NG),mu[2],100,1,200,200,0.00200496992346534,0.915,0.11213903229649501,0.10297592246380266,0.1121211071119098,-0.00914518464810713,0,0,1.0009514756077995
5,Normal-Gaussian (NG),phi11,100,1,200,200,-0.07514324300929269,0.96,0.1038960359586939,0.1059008619081353,0.09945323108244215,0.00644763082569313,0,0,1.0009514756077995
