condition_id,Model,param,mcmc_status,T,theta,N_valid,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias
2,Normal–Gaussian (NG),phi21,Clean,100,0.5,200,-0.11555927719048655,0.975,0.10029636978367003,0.0984987198991881,0.09962842127794057,-0.0011297013787524707
2,Normal–Gaussian (NG),phi22,Clean,100,0.5,200,-0.10097972140521425,0.96,0.0996977808964335,0.09857880745222393,0.09114901455342954,0.007429792898794391
2,Normal–Clayton (NC),theta,Clean,100,0.5,200,0.06936815763600819,0.9650000000000001,0.1766604053626777,0.17191747681658714,0.17322215071823838,-0.001304673901651232
2,Normal–Clayton (NC),sigma[1],Clean,100,0.5,200,0.01425964497833637,0.925,0.07657675424171323,0.07257592217758274,0.07523736980575245,-0.002661447628169708
2,Normal–Clayton (NC),sigma[2],Clean,100,0.5,200,0.008459953730496026,0.955,0.07118900864598014,0.07215627807806188,0.07068453957461492,0.0014717385034469649
2,Normal–Clayton (NC),mu[1],Clean,100,0.5,200,0.012670419672068039,0.9299999999999999,0.11184192887189928,0.10360992033298619,0.11112190386742234,-0.007511983534436148
2,Normal–Clayton (NC),mu[2],Clean,100,0.5,200,0.011090433244215494,0.935,0.1106639182462926,0.10317679902933795,0.11010678949128311,-0.00692999046194516
2,Normal–Clayton (NC),phi11,Clean,100,0.5,200,-0.11797864368443291,0.915,0.11260927148332721,0.09598354109906788,0.10224389647067814,-0.006260355371610252
2,Normal–Clayton (NC),phi12,Clean,100,0.5,200,0.013652342684803158,0.95,0.09919109855372865,0.09685924101696325,0.09918170278679267,-0.0023224617698294203
2,Normal–Clayton (NC),phi21,Clean,100,0.5,200,-0.11609165973147567,0.97,0.09903967443949495,0.0960143695973668,0.09835692338869217,-0.0023425537913253774
2,Normal–Clayton (NC),phi22,Clean,100,0.5,200,-0.0945161805441592,0.9450000000000001,0.09620830300720133,0.09596695974037246,0.08846868500198525,0.007498274738387212
3,Normal–Gaussian (NG),rho,Clean,200,0.5,200,NA,NA,NA,0.06340376255605573,0.07087461947159297,-0.007470856915537241
3,Normal–Gaussian (NG),sigma[1],Clean,200,0.5,200,0.00407444384601188,0.94,0.054614322166189534,0.0508390981103222,0.054462125307575326,-0.0036230271972531244
3,Normal–Gaussian (NG),sigma[2],Clean,200,0.5,200,0.0036324849172162973,0.9299999999999999,0.05074824376804286,0.05078367771767423,0.050618072848212,1.6560486946223113e-4
3,Normal–Gaussian (NG),mu[1],Clean,200,0.5,200,-0.001619955913458977,0.9450000000000001,0.0772368048702557,0.07187867487764263,0.0772198146164856,-0.005341139738842968
3,Normal–Gaussian (NG),mu[2],Clean,200,0.5,200,0.0036694928160407947,0.9650000000000001,0.06873843399133185,0.07184564166418493,0.0686404190696248,0.003205222594560131
3,Normal–Gaussian (NG),phi11,Clean,200,0.5,200,-0.036074665938045376,0.96,0.06342473802752313,0.0694038919937411,0.06176144711916397,0.007642444874577131
