condition_id,Model,param,mcmc_status,T,theta,VARset,N_valid,mean_bias,mean_rel_bias,coverage_95,RMSE,mean_post_sd,emp_sd,sd_bias
4,NC (Clayton copula),theta,Clean,50,1,A,200,-0.013292380694944119,-0.013292380694944119,0.975,0.3186023292754968,0.3410997753091985,0.31832492336484236,0.022774851944356134
4,NG (Gaussian copula),mu[1],Clean,50,1,A,200,0.014004017765582157,0.014004017765582157,0.92,0.17382574373718082,0.1482702996911115,0.1732607187801243,-0.02499041908901281
4,NG (Gaussian copula),mu[2],Clean,50,1,A,200,0.010361918231829888,0.010361918231829888,0.915,0.17172651518966667,0.14917339013575417,0.17141361284840737,-0.02224022271265319
4,NG (Gaussian copula),phi11,Clean,50,1,A,200,-0.08066027085162635,-0.20165067712906584,0.96,0.15163207568881665,0.14991802380617622,0.12839862570853824,0.021519398097637976
4,NG (Gaussian copula),phi12,Clean,50,1,A,200,0.0112765550321871,0.11276555032187101,0.965,0.1363541064560967,0.15037162762013037,0.13588701797466382,0.01448460964546655
4,NG (Gaussian copula),phi21,Clean,50,1,A,200,-0.004875099494078455,-0.04875099494078455,0.97,0.14452099056139903,0.15158221120255314,0.14443874174808788,0.007143469454465257
4,NG (Gaussian copula),phi22,Clean,50,1,A,200,-0.08483185795093427,-0.2120796448773357,0.965,0.16174038960306017,0.1507857826748695,0.13770805897093388,0.013077723703935618
4,NG (Gaussian copula),sigma[1],Clean,50,1,A,200,-0.0028524098156835634,-0.0028524098156835634,0.94,0.10013415687957167,0.10349638583065117,0.10009352192937394,0.0034028639012772255
4,NG (Gaussian copula),sigma[2],Clean,50,1,A,200,0.0035619469465454448,0.0035619469465454448,0.97,0.09953617065694415,0.10409646984577517,0.09947241729745138,0.004624052548323793
4,NG (Gaussian copula),rho,Clean,50,1,A,200,NA,NA,NA,NA,0.11277227101330956,0.1255856728705869,-0.012813401857277334
5,NC (Clayton copula),mu[1],Clean,100,1,A,200,-0.0028305834464176878,-0.0028305834464176878,0.925,0.10922267343443474,0.10201964222880185,0.10918598897989633,-0.007166346751094482
5,NC (Clayton copula),mu[2],Clean,100,1,A,200,0.0014736163604163086,0.0014736163604163086,0.92,0.1094621272689317,0.10223638820445827,0.10945220765732465,-0.007215819452866382
5,NC (Clayton copula),phi11,Clean,100,1,A,200,-0.02347836864163623,-0.058695921604090574,0.97,0.09404959847442537,0.10022712157051789,0.09107191213062382,0.009155209439894063
5,NC (Clayton copula),phi12,Clean,100,1,A,200,-4.427135586487674e-4,-0.004427135586487665,0.945,0.09503849550443204,0.1005183890226918,0.09503746436248675,0.005480924660205055
5,NC (Clayton copula),phi21,Clean,100,1,A,200,-0.004526834201906665,-0.045268342019066654,0.94,0.10361294119591254,0.10046443697987194,0.10351400560009297,-0.00304956862022103
5,NC (Clayton copula),phi22,Clean,100,1,A,200,-0.03502983957333421,-0.08757459893333551,0.97,0.09720457529217424,0.10093717188201552,0.09067325844590808,0.010263913436107441
5,NC (Clayton copula),sigma[1],Clean,100,1,A,200,0.0037907025597735517,0.0037907025597735517,0.965,0.07007700360121982,0.06987187293169804,0.06997440251855461,-1.0252958685656732e-4
5,NC (Clayton copula),sigma[2],Clean,100,1,A,200,0.005808430534876547,0.005808430534876547,0.945,0.07266238892344548,0.06999600333203021,0.07242986192713312,-0.0024338585951029085
5,NC (Clayton copula),theta,Clean,100,1,A,200,-0.02395610768716072,-0.02395610768716072,0.955,0.22204677881088494,0.2382004897286094,0.22075071208213853,0.017449777646470876
5,NG (Gaussian copula),mu[1],Clean,100,1,A,200,-0.002215745470327329,-0.002215745470327329,0.92,0.10973046234856776,0.10284691453598653,0.10970808921515847,-0.006861174679171939
5,NG (Gaussian copula),mu[2],Clean,100,1,A,200,0.0021632824541497624,0.0021632824541497624,0.92,0.11206343440258054,0.10305362725103227,0.1120425523590258,-0.008988925107993526
5,NG (Gaussian copula),phi11,Clean,100,1,A,200,-0.029864883126225025,-0.07466220781556256,0.96,0.10360850526563392,0.10605218497615275,0.09921094253778569,0.006841242438367062
5,NG (Gaussian copula),phi12,Clean,100,1,A,200,0.0031934329943771327,0.03193432994377132,0.945,0.10662254016122637,0.10673163363973505,0.10657470645581321,1.5692718392183724e-4
5,NG (Gaussian copula),phi21,Clean,100,1,A,200,-0.0075725178938796395,-0.07572517893879638,0.94,0.11105503499605099,0.10634986225241141,0.11079656028379664,-0.004446698031385227
5,NG (Gaussian copula),phi22,Clean,100,1,A,200,-0.03387716924758011,-0.08469292311895026,0.97,0.10377464934630741,0.106594355175937,0.09808932281711336,0.008505032358823647
5,NG (Gaussian copula),sigma[1],Clean,100,1,A,200,0.0028671611009294796,0.0028671611009294796,0.965,0.0724214554404158,0.07225836491535889,0.07236467781541936,-1.063129000604679e-4
5,NG (Gaussian copula),sigma[2],Clean,100,1,A,200,0.004619588109923591,0.004619588109923591,0.945,0.07663013068651835,0.0723631979702758,0.07649075979964857,-0.004127561829372781
5,NG (Gaussian copula),rho,Clean,100,1,A,200,NA,NA,NA,NA,0.07781666652987573,0.07856549955349139,-7.488330236156554e-4
6,NC (Clayton copula),mu[1],Clean,200,1,A,200,-0.005394895042614684,-0.005394895042614684,0.945,0.07695300790771976,0.07058750851149391,0.0767636667540364,-0.006176158242542487
6,NC (Clayton copula),mu[2],Clean,200,1,A,200,0.0013725823480996093,0.0013725823480996093,0.94,0.07559419092792093,0.07099740810211372,0.07558172874276327,-0.00458432064064955
6,NC (Clayton copula),phi11,Clean,200,1,A,200,-0.018095879684932818,-0.04523969921233204,0.935,0.07497973226100631,0.07090696353855609,0.07276331072979449,-0.0018563471912383944
6,NC (Clayton copula),phi12,Clean,200,1,A,200,-0.0024342939412276164,-0.02434293941227616,0.945,0.07350759202695951,0.07068272659107128,0.07346727365711637,-0.0027845470660450983
6,NC (Clayton copula),phi21,Clean,200,1,A,200,0.003301965056697591,0.033019650566975915,0.975,0.06730089656523724,0.07157702447596342,0.06721984606683587,0.0043571784091275545
6,NC (Clayton copula),phi22,Clean,200,1,A,200,-0.02124329042780357,-0.05310822606950892,0.935,0.0713314172306614,0.07110233074581722,0.06809474058937803,0.0030075901564391855
6,NC (Clayton copula),sigma[1],Clean,200,1,A,200,-0.005905132015404386,-0.005905132015404386,0.92,0.05360436830234405,0.04839050636350413,0.05327811668005912,-0.004887610316554991
6,NC (Clayton copula),sigma[2],Clean,200,1,A,200,-0.001213500135703381,-0.001213500135703381,0.94,0.050470933262794844,0.048590327212275894,0.050456342731495504,-0.0018660155192196104
6,NC (Clayton copula),theta,Clean,200,1,A,200,-0.004638930160381921,-0.004638930160381921,0.955,0.15844319156912165,0.16890499834226397,0.15837526726599857,0.010529731076265397
6,NG (Gaussian copula),mu[1],Clean,200,1,A,200,-0.005143897189822153,-0.005143897189822153,0.945,0.0767272182325846,0.07111722885469153,0.07655459711481213,-0.005437368260120604
6,NG (Gaussian copula),mu[2],Clean,200,1,A,200,0.001478865619173262,0.001478865619173262,0.94,0.07720228402290669,0.0714876211612538,0.07718811835272305,-0.005700497191469242
6,NG (Gaussian copula),phi11,Clean,200,1,A,200,-0.016784898217407543,-0.04196224554351886,0.94,0.07769357427366619,0.07571686205530483,0.07585880749951816,-1.419454442133372e-4
6,NG (Gaussian copula),phi12,Clean,200,1,A,200,-0.006099662251958126,-0.06099662251958126,0.95,0.07894615703502599,0.07566448832136469,0.07871016345435333,-0.0030456751329886456
6,NG (Gaussian copula),phi21,Clean,200,1,A,200,0.006133214719181831,0.0613321471918183,0.98,0.07106493369976875,0.07613441322703916,0.070799777393442,0.005334635833597168
6,NG (Gaussian copula),phi22,Clean,200,1,A,200,-0.02544606667288731,-0.06361516668221828,0.94,0.07738821604434364,0.07578833601734157,0.07308511252919421,0.0027032234881473605
6,NG (Gaussian copula),sigma[1],Clean,200,1,A,200,-0.007409921658243199,-0.007409921658243199,0.895,0.05570863124118264,0.050095267403809145,0.055213627446353934,-0.0051183600425447895
6,NG (Gaussian copula),sigma[2],Clean,200,1,A,200,-0.002990080919320264,-0.002990080919320264,0.935,0.05231648173723426,0.05031997359988857,0.0522309647379625,-0.001910991138073928
6,NG (Gaussian copula),rho,Clean,200,1,A,200,NA,NA,NA,NA,0.05417363444951148,0.05894055798823646,-0.004766923538724981
7,NC (Clayton copula),mu[1],Clean,50,2,A,200,-0.010483761610083405,-0.010483761610083405,0.955,0.16269426724161085,0.1432135406955543,0.16235613735177254,-0.01914259665621823
7,NC (Clayton copula),mu[2],Clean,50,2,A,200,0.0024438558262675314,0.0024438558262675314,0.93,0.15875864574277487,0.14487826439438853,0.15873983484551163,-0.0138615704511231
7,NC (Clayton copula),phi11,Clean,50,2,A,200,-0.08180397009786129,-0.20450992524465322,0.93,0.1611472111122264,0.1562988611706159,0.13883995867716425,0.01745890249345164
7,NC (Clayton copula),phi12,Clean,50,2,A,200,0.0037097519477881937,0.03709751947788194,0.96,0.14809262365615258,0.15307879248522754,0.14804615132400006,0.00503264116122748
7,NC (Clayton copula),phi21,Clean,50,2,A,200,-0.036861883954763947,-0.3686188395476394,0.965,0.14597908267179108,0.15669898371416782,0.14124834189824365,0.015450641815924177
7,NC (Clayton copula),phi22,Clean,50,2,A,200,-0.04116933095380893,-0.10292332738452231,0.99,0.14134454350582557,0.15324172912678186,0.13521599819431857,0.01802573093246329
7,NC (Clayton copula),sigma[1],Clean,50,2,A,200,-0.008706971237808784,-0.008706971237808784,0.945,0.09523976414853765,0.09581147478991658,0.09484092643438827,9.705483555283168e-4
7,NC (Clayton copula),sigma[2],Clean,50,2,A,200,0.001211976782674221,0.001211976782674221,0.955,0.09215972593119204,0.09656922914838234,0.09215175633698301,0.004417472811399328
