condition_id,model,param,mean_rel_bias,coverage_95,mean_post_sd,emp_sd,sd_bias,mean_n_div
2,SG,rho,-0.14134973792392874,0.95,0.12545325232112625,0.11741710607282883,0.008036146248297418,11.8
3,NG,mu[1],0.9545004555384707,0.135,0.3515144983395863,0.28043157147202374,0.07108292686756257,0
3,NG,mu[2],0.9777952733495567,0.13,0.3572084708190413,0.29763508843576036,0.059573382383280915,0
3,NG,phi11,-0.0869735495931651,0.975,0.13403678144305797,0.10907985114186063,0.024956930301197347,0
3,NG,phi12,0.27663756733752465,0.97,0.1357240548651205,0.12085448340655738,0.01486957145856313,0
3,NG,phi21,0.3201452552933883,0.955,0.13937115142702466,0.129450845871636,0.00992030555538867,0
3,NG,phi22,-0.10559839432757873,0.98,0.13392179842257493,0.11556568081034288,0.018356117612232048,0
3,NG,rho,-0.32971830117837936,0.885,0.12805318761413773,0.1393580235692041,-0.011304835955066372,0
3,NG,sigma[1],0.3533872621779536,0.375,0.1389215201995455,0.30925448042221093,-0.17033296022266542,0
3,NG,sigma[2],0.38446291446425324,0.305,0.14154790016372304,0.34244745825772066,-0.20089955809399762,0
3,SG,delta[1],0.9941918646833904,0.005,0.02194251518719819,0.007964616147941524,0.013977899039256666,17.98
3,SG,delta[2],0.9929607514891235,0.02,0.025840685003752525,0.01344132878238967,0.012399356221362855,17.98
3,SG,mu[1],1.2460834819632842,0,0.19642418046811952,0.24110098570273805,-0.04467680523461853,17.98
3,SG,mu[2],1.2790639066083713,0,0.2017882734287985,0.2490484731775985,-0.047260199748800025,17.98
3,SG,omega[1],0.7162338953572969,0.045,0.173034720779755,0.32186462131614646,-0.14882990053639145,17.98
3,SG,omega[2],0.753885166199189,0.055,0.17680921344619174,0.35218183734527697,-0.17537262389908523,17.98
3,SG,phi11,-0.055500242857490924,0.995,0.06414315894356891,0.03612388812468191,0.028019270818887,17.98
3,SG,phi12,0.016463074486205573,1,0.06268468214054197,0.039573747317112544,0.02311093482342943,17.98
3,SG,phi21,-0.021666886735309056,0.995,0.06525756244847693,0.03838665473588616,0.02687090771259077,17.98
3,SG,phi22,-0.05891512585393781,1,0.06422259355055576,0.03552335657704956,0.028699236973506202,17.98
3,SG,rho,-0.25869253676627285,0.86,0.10149264376854768,0.10884546510033738,-0.007352821331789702,17.98
4,NG,mu[1],0.005132602071364795,0.935,0.14892960220364937,0.1589332574917958,-0.010003655288146424,0
4,NG,mu[2],0.01132102824867102,0.935,0.14912732639128135,0.17006984078917115,-0.0209425143978898,0
4,NG,phi11,-0.17211486820666894,0.96,0.13893170975961427,0.1256130186371109,0.013318691122503362,0
4,NG,phi12,-0.06779616574770975,0.955,0.14122459349813077,0.13545883287192356,0.005765760626207206,0
4,NG,phi21,-0.31577860729949014,0.95,0.13989365377652171,0.127713943179579,0.012179710596942728,0
4,NG,phi22,-0.17706054829500611,0.965,0.13997744441501095,0.11485983283479204,0.025117611580218913,0
4,NG,rho,-0.13233628391172525,0.935,0.12737970072871727,0.13287944786099587,-0.005499747132278604,0
4,NG,sigma[1],0.0026516417849324274,0.94,0.1052654866284498,0.10562525794849324,-3.597713200434449e-4,0
4,NG,sigma[2],0.0038989951340193223,0.92,0.1053176555668354,0.11774742703554773,-0.012429771468712339,0
