model,condition_id,rep_id,status,n_div,max_rhat
EL,1,145,ok,0,1.002361685766112
EI,1,146,ok,0,1.0043246695251662
EL,1,146,ok,0,1.0016334725886389
EI,1,147,ok,0,1.0224197631950747
EL,1,147,ok,0,1.0012019408298933
EI,1,148,ok,0,1.0050589389320483
EL,1,148,ok,0,1.0007146321169025
EI,1,149,ok,0,1.0046930923287405
EL,1,149,ok,0,1.0013839730102245
EI,1,150,ok,0,1.0025887744508546
EL,1,150,ok,0,1.0011799603609177
EI,1,151,ok,0,1.0694831581247501
EL,1,151,ok,0,1.0018318131839186
EI,1,152,ok,0,1.0059311859273188
EL,1,152,ok,0,1.0006253289073688
EI,1,153,ok,0,1.0018595409686013
EL,1,153,ok,0,1.0010299929650193
EI,1,154,ok,0,1.0049087107590637
EL,1,154,ok,0,1.0010761345479695
EI,1,155,ok,0,1.0036417783325535
EL,1,155,ok,0,1.0021953522694846
EI,1,156,ok,0,1.0118094136597715
EL,1,156,ok,0,1.002029142285904
EI,1,157,ok,0,1.0055813045250561
EL,1,157,ok,0,1.0002284151893392
EI,1,158,ok,0,1.00589444314677
EL,1,158,ok,0,1.0016625222619973
EI,1,159,ok,0,1.0047474119867874
EL,1,159,ok,0,1.0006133309463077
EI,1,160,ok,0,1.007857345868194
EL,1,160,ok,0,1.0009447341704196
EI,1,161,ok,0,1.0047551587929902
EL,1,161,ok,0,1.000833763712119
EI,1,162,ok,0,1.0020517593192355
EL,1,162,ok,0,1.000763297801008
EI,1,163,ok,0,1.0042506478494913
EL,1,163,ok,0,1.0005487782968028
EI,1,164,ok,0,1.0078610875592628
EL,1,164,ok,0,1.0015156671201029
EI,1,165,ok,0,1.0082108755348145
EL,1,165,ok,0,1.0016627070824091
EI,1,166,ok,0,1.0045255996888187
EL,1,166,ok,0,1.0013421068904995
EI,1,167,ok,0,1.0357084064749074
EL,1,167,ok,0,1.002322009635058
EI,1,168,ok,0,1.00452423853095
EL,1,168,ok,0,1.001113359205627
EI,1,169,ok,0,1.0134446582570547
EL,1,169,ok,0,1.0009704850901764
EI,1,170,ok,0,1.0059245847198826
EL,1,170,ok,0,1.000782931792634
EI,1,171,ok,0,1.004796722700313
EL,1,171,ok,0,1.0006225379814853
EI,1,172,ok,1,1.0024155535864736
EL,1,172,ok,0,1.000859892771549
EI,1,173,ok,0,1.0229591172738857
EL,1,173,ok,0,1.0028490417880633
EI,1,174,ok,0,1.0084468775456152
EL,1,174,ok,0,1.0017658305648087
EI,1,175,ok,0,1.0125008555155168
EL,1,175,ok,0,1.000455190659444
EI,1,176,ok,0,1.0072704811182467
EL,1,176,ok,0,1.0015014761718881
EI,1,177,ok,0,1.0129090531063223
EL,1,177,ok,0,1.001588635959557
EI,1,178,ok,0,1.009579395155318
EL,1,178,ok,0,1.0452044589505065
EI,1,179,ok,0,1.002728384039919
EL,1,179,ok,0,1.0011836568875734
EI,1,180,ok,0,1.0037197543363663
EL,1,180,ok,0,1.0008657331717479
EI,1,181,ok,0,1.0026523591997183
EL,1,181,ok,0,1.0017196647800528
EI,1,182,ok,0,1.001394623012251
EL,1,182,ok,0,1.0008198611615984
EI,1,183,ok,0,1.0050204762421957
EL,1,183,ok,0,1.0016859000444165
EI,1,184,ok,0,1.0086855531815406
EL,1,184,ok,0,1.0009638916144148
EI,1,185,ok,0,1.0037534302422835
EL,1,185,ok,0,1.0004523416656308
EI,1,186,ok,0,1.0037942746679025
EL,1,186,ok,0,1.0014075224591612
EI,1,187,ok,0,1.0051926621433036
EL,1,187,ok,0,1.0004282508948483
EI,1,188,ok,0,1.0075773928149994
EL,1,188,ok,0,1.0016387540883354
EI,1,189,ok,0,1.0032607931975872
EL,1,189,ok,0,1.0017272525683838
EI,1,190,ok,0,1.0056512850587271
EL,1,190,ok,0,1.0025118094031384
EI,1,191,ok,0,1.0069358395025592
EL,1,191,ok,0,1.0004727593378544
EI,1,192,ok,0,1.0088612659316356
EL,1,192,ok,0,1.0006007546716058
EI,1,193,ok,0,1.0353198670686947
EL,1,193,ok,0,1.0007271642647697
EI,1,194,ok,0,1.113902047112767
EL,1,194,ok,0,1.000613477115199
EI,1,195,ok,0,1.0048946243199592
EL,1,195,ok,0,1.0074117860613592
EI,1,196,ok,0,1.003791961123766
EL,1,196,ok,0,1.001055122489988
EI,1,197,ok,0,1.0050478037271586
EL,1,197,ok,0,1.0006540005952007
EI,1,198,ok,0,1.0029125257458522
EL,1,198,ok,0,1.0010840863755464
EI,1,199,ok,0,1.0078514643585703
EL,1,199,ok,0,1.0006187371737771
EI,1,200,ok,0,1.0035075941436227
EL,1,200,ok,0,1.0008314048560563
EI,2,1,ok,0,1.0068131127333735
EL,2,1,ok,0,1.0005720042890471
EI,2,2,ok,0,1.0076840206044608
EL,2,2,ok,0,1.000501267935458
EI,2,3,ok,0,1.010741484158948
EL,2,3,ok,0,1.000890341906238
EI,2,4,ok,0,1.0033600707015136
EL,2,4,ok,0,1.0003275472836786
EI,2,5,ok,3,1.0034444192746959
EL,2,5,ok,0,1.000624391678428
EI,2,6,ok,0,1.0051853868099883
EL,2,6,ok,0,1.0000997528441165
EI,2,7,ok,0,1.0045007320835384
EL,2,7,ok,0,1.0014183788812436
EI,2,8,ok,0,1.0049874713980005
EL,2,8,ok,0,1.0012210124491792
EI,2,9,ok,2,1.0186930978490691
EL,2,9,ok,0,1.001446951159352
EI,2,10,ok,0,1.0057680539541263
EL,2,10,ok,0,1.000396831615729
EI,2,11,ok,0,1.015234825502229
EL,2,11,ok,0,1.0009508772037206
EI,2,12,ok,0,1.0023285019497306
EL,2,12,ok,0,1.0013906502453118
EI,2,13,ok,0,1.0050793017218447
EL,2,13,ok,0,1.0007252622597274
EI,2,14,ok,0,1.0106922511801466
EL,2,14,ok,0,1.0011157077625576
EI,2,15,ok,0,2.2937867826449634
EL,2,15,ok,0,1.0010528756371335
EI,2,16,ok,0,1.0018844753786051
EL,2,16,ok,0,1.0008402246555352
EI,2,17,ok,0,1.001497121513904
EL,2,17,ok,0,1.000505810957024
EI,2,18,ok,3,1.0073501379088108
EL,2,18,ok,0,1.00025693447137
EI,2,19,ok,1,1.0047404774909037
EL,2,19,ok,0,1.0010180045686377
EI,2,20,ok,3,1.0058543623736669
EL,2,20,ok,0,1.0007871767898853
EI,2,21,ok,0,1.0107519806801302
EL,2,21,ok,0,1.0008564312685306
EI,2,22,ok,0,1.0070660989804265
EL,2,22,ok,0,1.0011638403155765
EI,2,23,ok,2,28.494775279248564
EL,2,23,ok,0,1.000765091112086
EI,2,24,ok,0,1.0067561223651407
EL,2,24,ok,0,1.0022542631472748
EI,2,25,ok,0,1.0018519732622941
EL,2,25,ok,0,1.0006001230196298
