model,condition_id,rep_id,param,post_mean,post_sd,l95,u95,truth,bias,rel_bias,cover95,n_div,max_rhat,status
EI,1,7,phi12,0.025811761597163287,0.14878286443758607,-0.2707401397900108,0.30528027859395857,0.1,-0.07418823840283673,-0.7418823840283673,1,0,1.0024729801457966,ok
EI,1,7,phi21,-0.1366417296057453,0.13107773449244003,-0.40414358417341,0.11034436602382128,0.1,-0.2366417296057453,-2.366417296057453,1,0,1.0024729801457966,ok
EI,1,7,phi22,-0.04093305003310502,0.15357821197520882,-0.34232263871755225,0.2584319436515404,0.25,-0.290933050033105,-1.16373220013242,1,0,1.0024729801457966,ok
EI,1,7,rho,0.9106727172550202,0.04105060900242923,0.8077816175985134,0.960597729755115,0.3,0.6106727172550201,2.0355757241834005,0,0,1.0024729801457966,ok
EI,1,7,sigma_exp[1],1.1367848062865937,0.14064901820418363,0.8947189951106344,1.4462122944570857,1,0.13678480628659373,0.13678480628659373,1,0,1.0024729801457966,ok
EI,1,7,sigma_exp[2],1.1688185803064208,0.14971698597213923,0.9012683337238131,1.49205193723228,1,0.16881858030642083,0.16881858030642083,1,0,1.0024729801457966,ok
EI,1,8,mu[1],-0.27029504810965044,0.13172418868313973,-0.5337327129273414,-0.018620831481097794,0,-0.27029504810965044,-0.27029504810965044,0,1,1.0098154879986565,ok
EI,1,8,mu[2],-0.22572233605827344,0.1469036710421755,-0.5208062460888445,0.054959088662819504,0,-0.22572233605827344,-0.22572233605827344,1,1,1.0098154879986565,ok
EI,1,8,phi11,0.536562004138829,0.10188228328953675,0.33382750227414787,0.7330193048499495,0.55,-0.013437995861171004,-0.024432719747583643,1,1,1.0098154879986565,ok
EI,1,8,phi12,0.14523440059986226,0.13082782243291957,-0.1111727054122573,0.4016967083616102,0.1,0.04523440059986225,0.4523440059986225,1,1,1.0098154879986565,ok
EI,1,8,phi21,0.1911923182310356,0.10871212589394613,-0.020513377472623242,0.40747535800005164,0.1,0.0911923182310356,0.911923182310356,1,1,1.0098154879986565,ok
EI,1,8,phi22,0.12437287849711352,0.14192038790303885,-0.16240061611897075,0.39517011945243197,0.25,-0.12562712150288646,-0.5025084860115459,1,1,1.0098154879986565,ok
EI,1,8,rho,0.8862001145716244,0.05773025615943432,0.7381513713936235,0.9560699450016898,0.3,0.5862001145716245,1.954000381905415,0,1,1.0098154879986565,ok
EI,1,8,sigma_exp[1],1.1354360606275573,0.15330164980209168,0.8723350097337497,1.4699669971890446,1,0.1354360606275573,0.1354360606275573,1,1,1.0098154879986565,ok
EI,1,8,sigma_exp[2],1.178789172148769,0.1643439409123962,0.8953433717033906,1.5405337848537708,1,0.1787891721487691,0.1787891721487691,1,1,1.0098154879986565,ok
EI,1,9,mu[1],-0.06736649550104949,0.15070617358753552,-0.3630267841259153,0.22560221059220364,0,-0.06736649550104949,-0.06736649550104949,1,0,1.0029634380075236,ok
EI,1,9,mu[2],0.051547418491584125,0.14954860585879717,-0.24153805913215678,0.34679098022247895,0,0.051547418491584125,0.051547418491584125,1,0,1.0029634380075236,ok
EI,1,9,phi11,-0.1436480323385008,0.12651041682871508,-0.3856556834372467,0.115426744790712,0.55,-0.6936480323385008,-1.261178240615456,0,0,1.0029634380075236,ok
