condition_id,model,param,N_valid,N_truth_avail,mean_bias,mean_rel_bias,coverage_95,mean_post_sd,emp_sd,sd_bias,mean_n_div,prop_div,mean_rhat,N_expected,N_ok,N_missing_fit,N_not_ok,prop_ok,RMSE
4,EL,rho,200,200,0.2389503027308938,0.7965010091029794,0.44499999999999995,0.10807058332047075,0.12125213841595245,-0.013181555095481703,0,0,1.000925501615824,200,200,0,0,1,0.2679539666540264
4,EL,sigma_exp[1],200,200,0.3688440570560448,0.3688440570560448,0.01499999999999999,0.11934251098607808,0.07866420793367428,0.0406783030524038,0,0,1.000925501615824,200,200,0,0,1,0.3771392263281495
4,EL,sigma_exp[2],200,200,0.3477401348195303,0.3477401348195303,0.03999999999999998,0.11807364107432959,0.08282555651399513,0.03524808456033446,0,0,1.000925501615824,200,200,0,0,1,0.3574678645363218
5,EI,mu[1],200,200,-0.010187356389046885,-0.010187356389046885,0.955,0.08456201728700469,0.07986222090844253,0.00469979637856216,0,0,1.1165727707288884,200,200,0,0,1,0.08050935696318987
5,EI,mu[2],200,200,-0.025330612025741002,-0.025330612025741002,0.995,0.10616882741180542,0.07595946338919736,0.030209364022608057,0,0,1.1165727707288884,200,200,0,0,1,0.08007171775335802
5,EI,phi11,200,200,-0.059339966772360274,-0.10789084867701867,0.94,0.09147899788982827,0.09176288771481833,-2.838898249900579e-4,0,0,1.1165727707288884,200,200,0,0,1,0.10927789903867652
5,EI,phi12,200,200,0.005250613242786008,0.05250613242786009,0.975,0.12425894235962623,0.102315902251696,0.02194304010793023,0,0,1.1165727707288884,200,200,0,0,1,0.10245053827581352
5,EI,phi21,200,200,-0.05711502782596615,-0.5711502782596615,0.96,0.10103085964744803,0.09638350227511809,0.0046473573723299355,0,0,1.1165727707288884,200,200,0,0,1,0.11203528870127744
5,EI,phi22,200,200,-0.0906819647947669,-0.3627278591790676,0.915,0.12413367105785707,0.1114218771505667,0.012711793907290367,0,0,1.1165727707288884,200,200,0,0,1,0.14365950524345864
5,EI,rho,200,200,0.4809027675265087,1.6030092250883623,0.01499999999999999,0.06378782815512661,0.13040635008911508,-0.06661852193398847,0,0,1.1165727707288884,200,200,0,0,1,0.49827029608257817
5,EI,sigma_exp[1],200,200,0.5958018552830985,0.5958018552830985,0,0.14547399531442098,0.08279810617421932,0.06267588914020167,0,0,1.1165727707288884,200,200,0,0,1,0.6015275364809325
5,EI,sigma_exp[2],200,200,0.5943036116389514,0.5943036116389514,0,0.1434747773434083,0.0868694635481653,0.056605313795243,0,0,1.1165727707288884,200,200,0,0,1,0.6006189195357133
5,EL,mu[1],200,200,-0.09616756369850406,-0.09616756369850406,1,0.16275878601686214,0.08631010290926752,0.07644868310759462,0,0,1.6201090448348354,200,200,0,0,1,0.1292193258453014
5,EL,mu[2],200,200,-0.09616808370110083,-0.09616808370110083,1,0.15420664621937302,0.07478003558387407,0.07942661063549895,0,0,1.6201090448348354,200,200,0,0,1,0.12182099180628685
5,EL,phi11,200,200,-0.2757574532387363,-0.5013771877067932,0.09999999999999998,0.04773377771528683,0.16565431931492103,-0.1179205415996342,0,0,1.6201090448348354,200,200,0,0,1,0.3216885551654016
5,EL,phi12,200,200,-0.06556388771110985,-0.6556388771110986,0.40499999999999986,0.06024102096105689,0.19255557923009378,-0.13231455826903687,0,0,1.6201090448348354,200,200,0,0,1,0.20341158881546534
5,EL,phi21,200,200,-0.04739751173637613,-0.4739751173637613,0.465,0.05294038460816314,0.1630197948080291,-0.11007941019986597,0,0,1.6201090448348354,200,200,0,0,1,0.1697703673143574
5,EL,phi22,200,200,-0.13418366550231964,-0.5367346620092786,0.32499999999999996,0.05494404422735814,0.16048368880720318,-0.10553964457984505,0,0,1.6201090448348354,200,200,0,0,1,0.20918955628999655
5,EL,rho,200,200,0.4146667930176201,1.382222643392067,0.04500000000000001,0.06262816870825408,0.1057486191251759,-0.04312045041692182,0,0,1.6201090448348354,200,200,0,0,1,0.4279384531429716
5,EL,sigma_exp[1],200,200,2.266599010605165,2.266599010605165,0,0.17016475118702898,0.4042292476630758,-0.2340644964760468,0,0,1.6201090448348354,200,200,0,0,1,2.302362343234133
5,EL,sigma_exp[2],200,200,2.0263174889987248,2.0263174889987248,0,0.16112817336865654,0.37303038051807547,-0.21190220714941893,0,0,1.6201090448348354,200,200,0,0,1,2.0603674990184535
6,EI,mu[1],200,200,-0.007678998486576723,-0.007678998486576723,0.975,0.07946701801824782,0.0680157996750568,0.011451218343191016,0.01,0.01,4.406970721356984,200,200,0,0,1,0.06844790736899342
6,EI,mu[2],200,200,-0.008364433704334888,-0.008364433704334888,0.985,0.09521390414259219,0.07007401390878334,0.025139890233808845,0.01,0.01,4.406970721356984,200,200,0,0,1,0.07057146148750623
