"T_fac","dgp_alpha1_fac","dgp_alpha2_fac","dgp_copula_fac","dgp_tau_fac","fit_type","fitted_model_code","parameter","param_category","n_reps_param","true_value","avg_est","sd_est","avg_bias","med_bias","avg_rel_bias","med_rel_bias","rmse","mae","coverage","avg_post_sd","avg_ci_width","avg_Rhat","pct_rhat_high","med_n_eff","n_reps_sampler","avg_divergences","pct_reps_diverged","avg_maxdepth_exceed","avg_eFMI"
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Correct","SG","xi[1]","Residual Params",493,1.30168077588186,1.29432336868529,0.0488172525432322,-0.0073574071965619,-0.00575721465011569,-0.00565223619560444,-0.0044229082558397,0.0493195870147851,0.0394737582880378,0.955375253549696,0.0485253233116241,0.190145025066579,1.00029777168036,0,5009.12414735992,493,0.00405679513184584,0.405679513184584,0,0.498906307555912
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Correct","SG","xi[2]","Residual Params",493,-1.30168077588186,-1.29796747541621,0.0485799061938531,0.00371330046564521,0.00302915854775021,0.00285269670909101,0.00232711322459075,0.0486724650404892,0.0386317238563332,0.939148073022312,0.0484806442122116,0.190022744955277,1.00029113493749,0,5000.28038477141,493,0.00405679513184584,0.405679513184584,0,0.498906307555912
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Correct","SG","omega[1]","Residual Params",493,1.64145448986574,1.63348763945452,0.0595470859892571,-0.00796685041122306,-0.00622269220868898,-0.00485353109721287,-0.00379096237337531,0.0600177786220323,0.0480312370265055,0.949290060851927,0.059028042605727,0.231238817371935,1.00029590727287,0,5008.81052658287,493,0.00405679513184584,0.405679513184584,0,0.498906307555912
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Correct","SG","omega[2]","Residual Params",493,1.64145448986574,1.63768412542876,0.0592545431385671,-0.00377036443698196,-0.00394524590037348,-0.00229696556332205,-0.00240350611285981,0.0593143711259259,0.0471160005805283,0.941176470588235,0.0590439798458281,0.231345396886136,1.00029064987628,0,5011.84669141898,493,0.00405679513184584,0.405679513184584,0,0.498906307555912
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Correct","SG","alpha[1]","Residual Params",493,-9,-9.48064416248281,2.23308349111026,-0.480644162482815,-0.124233849670365,-0.053404906942535,-0.013803761074485,2.28200914905748,1.57016360612782,0.943204868154158,2.14476210847977,7.99754996772907,1.00036978868674,0,5439.38000406712,493,0.00405679513184584,0.405679513184584,0,0.498906307555912
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Correct","SG","alpha[2]","Residual Params",493,9,9.69340991136158,2.31486604252924,0.693409911361585,0.375142784341142,0.0770455457068427,0.0416825315934602,2.41423957367674,1.68751180406097,0.943204868154158,2.13649180698233,8.14252578621405,1.00034730096198,0,5427.53937452877,493,0.00405679513184584,0.405679513184584,0,0.498906307555912
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Standard","NG","phi11","VAR Coeffs",500,0.5,0.494109507153042,0.0455272025886352,-0.00589049284695825,-0.00604724510731466,-0.0117809856939165,-0.0120944902146293,0.0458615157749459,0.0370791288484431,0.954,0.0476315370548931,0.186754767408061,1.00054726836885,0,4046.70895995197,500,0,0,0,0.500107888897022
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Standard","NG","phi12","VAR Coeffs",500,0.3,0.296549944546321,0.0453446570420337,-0.00345005545367887,-0.00287365033570849,-0.0115001848455962,-0.00957883445236165,0.0454304801762935,0.0367350805095164,0.962,0.0476220519455832,0.186605284087504,1.00051858697339,0,4053.35174136542,500,0,0,0,0.500107888897022
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Standard","NG","phi21","VAR Coeffs",500,0.3,0.300977436510702,0.0458825151776193,0.000977436510702265,0.000900374452988073,0.00325812170234089,0.00300124817662691,0.0458470301192877,0.0368882576177374,0.952,0.0477731452646416,0.187216611173563,1.00054975018153,0,4024.48386790863,500,0,0,0,0.500107888897022
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Standard","NG","phi22","VAR Coeffs",500,0.5,0.489085473760365,0.0477938099466554,-0.0109145262396351,-0.0102169298119652,-0.0218290524792702,-0.0204338596239304,0.0489776138221766,0.0394277080190081,0.954,0.0477200593998026,0.187039496163287,1.00053748332802,0,4047.40276530601,500,0,0,0,0.500107888897022
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Standard","NG","mu[1]","Intercepts",500,0,0.00108351231026682,0.0477534420249041,0.00108351231026682,0.00257813840735653,NA,NA,0.0477179677029725,0.0374424344426138,0.946,0.0451840393955176,0.177168082209996,1.00013603837129,0,6073.47102146733,500,0,0,0,0.500107888897022
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Standard","NG","mu[2]","Intercepts",500,0,-0.00129187263718388,0.0474932254829918,-0.00129187263718388,-0.000639964226831162,NA,NA,0.0474632930669106,0.0387209446776035,0.946,0.0453052658120285,0.177485675539352,1.00014791313546,0,6075.69933878263,500,0,0,0,0.500107888897022
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Standard","NG","rho","Copula Params",500,0.587785252292473,0.526403661343548,0.0276554253155981,-0.0613815909489251,-0.0588415209659733,-0.104428599917275,-0.100107174748737,0.0673126482298016,0.0613981590457694,0.52,0.0323565485260892,0.126643673627841,1.00017204843677,0,6094.17842748787,500,0,0,0,0.500107888897022
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Standard","NG","sigma[1]","Residual Params",500,NA,0.999990867915387,0.0367496457004384,NA,NA,NA,NA,NA,NA,NA,0.0317323477444784,0.12428274902239,1.00012245776673,0,6410.30677869619,500,0,0,0,0.500107888897022
"T=500","A1=-9","A2=9","Cop=Gaussian","Tau=0.4","Standard","NG","sigma[2]","Residual Params",500,NA,1.00224270679702,0.0367894197082239,NA,NA,NA,NA,NA,NA,NA,0.0318314811253545,0.124599337539844,1.00013673466125,0,6372.54278682984,500,0,0,0,0.500107888897022
