model,condition_id,rep_id,param,post_mean,post_sd,l95,u95,truth,bias,rel_bias,cover95,n_div,max_rhat,status,unit
NG_MLmin,2,7,sigma[1],1.0151075241993794,0.013675924151994633,0.9892406224399422,1.0425272854004806,1,0.01510752419937944,0.01510752419937944,TRUE,0,1.005983627767102,ok,NA
NG_MLmin,2,7,sigma[2],0.968078763318733,0.013238114610192243,0.9429246339374594,0.9948161395619919,1,-0.03192123668126701,-0.03192123668126701,FALSE,0,1.005983627767102,ok,NA
NG_MLmin,2,7,mu_bar[1],0.05771683907198355,0.06518274906758931,-0.07203003742697665,0.18289502215896944,0,0.05771683907198355,0.05771683907198355,TRUE,0,1.005983627767102,ok,NA
NG_MLmin,2,7,mu_bar[2],-0.06554914028908036,0.05805195248353814,-0.18076040161509066,0.04810779600112958,0,-0.06554914028908036,-0.06554914028908036,TRUE,0,1.005983627767102,ok,NA
NG_MLmin,2,7,tau_mu[1],0.3849561706852396,0.05002140230617576,0.29849509427228804,0.4936577623587841,0.4,-0.015043829314760448,-0.03760957328690112,TRUE,0,1.005983627767102,ok,NA
NG_MLmin,2,7,tau_mu[2],0.35018369908054126,0.0458900982138029,0.2703038393873159,0.4504426525146186,0.4,-0.04981630091945877,-0.12454075229864692,TRUE,0,1.005983627767102,ok,NA
NG_MLmin,2,8,phi11,0.4327436328701792,0.020077458943977104,0.3927577358302699,0.4714162835070727,0.4,0.032743632870179173,0.08185908217544793,TRUE,0,1.0062864429658849,ok,NA
NG_MLmin,2,8,phi12,0.06823198256116837,0.018806587925368403,0.03086445269951939,0.10516575884408536,0.1,-0.03176801743883163,-0.3176801743883163,TRUE,0,1.0062864429658849,ok,NA
NG_MLmin,2,8,phi21,0.13608887987973894,0.02101385647748799,0.09567737163382521,0.17811682185426891,0.1,0.03608887987973894,0.3608887987973894,TRUE,0,1.0062864429658849,ok,NA
NG_MLmin,2,8,phi22,0.3788924388957637,0.02037223672845125,0.3393507675198589,0.4189776361892689,0.4,-0.02110756110423634,-0.05276890276059085,TRUE,0,1.0062864429658849,ok,NA
NG_MLmin,2,8,rho,0.47473779723590837,0.014983651030148953,0.4453100335631492,0.5036441303125007,0.5,-0.025262202764091635,-0.05052440552818327,TRUE,0,1.0062864429658849,ok,NA
NG_MLmin,2,8,sigma[1],0.9531084989568931,0.013167946992549221,0.9278805146328578,0.9793452461504178,1,-0.04689150104310691,-0.04689150104310691,FALSE,0,1.0062864429658849,ok,NA
NG_MLmin,2,8,sigma[2],1.0079265991842365,0.013890576692361895,0.9819737132258153,1.0356315257360338,1,0.007926599184236549,0.007926599184236549,TRUE,0,1.0062864429658849,ok,NA
NG_MLmin,2,8,mu_bar[1],-0.13890134905761578,0.06998527678884547,-0.28069842409150103,-0.008854624571761123,0,-0.13890134905761578,-0.13890134905761578,FALSE,0,1.0062864429658849,ok,NA
NG_MLmin,2,8,mu_bar[2],0.12810475151641668,0.07182945311615681,-0.007949265773545183,0.27036394277580084,0,0.12810475151641668,0.12810475151641668,TRUE,0,1.0062864429658849,ok,NA
NG_MLmin,2,8,tau_mu[1],0.4349915508788259,0.05767134010777602,0.337391767779557,0.5593975523173772,0.4,0.03499155087882588,0.08747887719706471,TRUE,0,1.0062864429658849,ok,NA
NG_MLmin,2,8,tau_mu[2],0.43895099881774313,0.05649396723265844,0.3428190780656059,0.5625697931324737,0.4,0.03895099881774311,0.09737749704435777,TRUE,0,1.0062864429658849,ok,NA
NG_MLmin,2,9,phi11,0.3737614510688286,0.020264814582131627,0.3339717483634728,0.41301934280011426,0.4,-0.026238548931171446,-0.06559637232792861,TRUE,0,1.0043531130605918,ok,NA
NG_MLmin,2,9,phi12,0.12361840031658482,0.018886246862056786,0.08715313431021077,0.16045678276147185,0.1,0.02361840031658481,0.23618400316584812,TRUE,0,1.0043531130605918,ok,NA
NG_MLmin,2,9,phi21,0.056495179474871156,0.021277344464508286,0.015186032072423689,0.09706257205735515,0.1,-0.04350482052512885,-0.43504820525128846,FALSE,0,1.0043531130605918,ok,NA
NG_MLmin,2,9,phi22,0.41591711156110894,0.02085691653132459,0.37581620948252864,0.4566127476593354,0.4,0.01591711156110892,0.0397927789027723,TRUE,0,1.0043531130605918,ok,NA
NG_MLmin,2,9,rho,0.46878522255503097,0.015078969403901833,0.43968335024004834,0.49831877847337674,0.5,-0.031214777444969033,-0.062429554889938066,FALSE,0,1.0043531130605918,ok,NA
NG_MLmin,2,9,sigma[1],0.9627499082930082,0.013252563749648888,0.9371614809213631,0.9889062249593283,1,-0.037250091706991784,-0.037250091706991784,FALSE,0,1.0043531130605918,ok,NA
NG_MLmin,2,9,sigma[2],1.0320750465617294,0.014370572721910705,1.0041553830185244,1.059901185320944,1,0.03207504656172944,0.03207504656172944,FALSE,0,1.0043531130605918,ok,NA
NG_MLmin,2,9,mu_bar[1],-0.07000080023393283,0.06955535008240443,-0.20287955917891226,0.06995553753044371,0,-0.07000080023393283,-0.07000080023393283,TRUE,0,1.0043531130605918,ok,NA
NG_MLmin,2,9,mu_bar[2],-0.04296677667357097,0.067927189802584,-0.17666246249795975,0.09080294774474361,0,-0.04296677667357097,-0.04296677667357097,TRUE,0,1.0043531130605918,ok,NA
NG_MLmin,2,9,tau_mu[1],0.42976707403149067,0.05436501424186377,0.3367852904078093,0.550190096737795,0.4,0.029767074031490648,0.07441768507872662,TRUE,0,1.0043531130605918,ok,NA
NG_MLmin,2,9,tau_mu[2],0.40188658220737133,0.052644524328959115,0.310394746912241,0.5165885868374934,0.4,0.0018865822073713123,0.004716455518428281,TRUE,0,1.0043531130605918,ok,NA
NG_MLmin,2,10,phi11,0.4020393522937058,0.019881871101678474,0.3637232748788939,0.44095660014134785,0.4,0.002039352293705776,0.0050983807342644405,TRUE,0,1.0060571796437459,ok,NA
NG_MLmin,2,10,phi12,0.10987021285212047,0.01983967944643597,0.07199161841222566,0.14864836695592668,0.1,0.00987021285212046,0.09870212852120461,TRUE,0,1.0060571796437459,ok,NA
NG_MLmin,2,10,phi21,0.07764684165407065,0.019542713846144578,0.039131829060002,0.11554672168584901,0.1,-0.022353158345929353,-0.22353158345929353,TRUE,0,1.0060571796437459,ok,NA
NG_MLmin,2,10,phi22,0.3970060284499809,0.02042953123469073,0.3566052456177187,0.4356239128927772,0.4,-0.0029939715500191255,-0.007484928875047814,TRUE,0,1.0060571796437459,ok,NA
NG_MLmin,2,10,rho,0.4458219714115901,0.015585318660414058,0.4145792952785473,0.4759843712227346,0.5,-0.05417802858840992,-0.10835605717681984,FALSE,0,1.0060571796437459,ok,NA
NG_MLmin,2,10,sigma[1],0.9642748452573561,0.012980570148032144,0.9392841359135513,0.9905058199919312,1,-0.03572515474264393,-0.03572515474264393,FALSE,0,1.0060571796437459,ok,NA
NG_MLmin,2,10,sigma[2],0.9684538128918456,0.01301994505650659,0.943808040291875,0.9942593828574904,1,-0.03154618710815438,-0.03154618710815438,FALSE,0,1.0060571796437459,ok,NA
NG_MLmin,2,10,mu_bar[1],0.021217490667092075,0.06793287499578454,-0.10887769138931891,0.15602065864722173,0,0.021217490667092075,0.021217490667092075,TRUE,0,1.0060571796437459,ok,NA
NG_MLmin,2,10,mu_bar[2],0.035146451484648206,0.0737235300470003,-0.10816855138306551,0.18550040915410743,0,0.035146451484648206,0.035146451484648206,TRUE,0,1.0060571796437459,ok,NA
NG_MLmin,2,10,tau_mu[1],0.40169068761270005,0.05204675710902149,0.3129118055656539,0.5157209310663754,0.4,0.0016906876127000259,0.004226719031750065,TRUE,0,1.0060571796437459,ok,NA
NG_MLmin,2,10,tau_mu[2],0.456550595035578,0.05800562379151431,0.3555814576898705,0.5821354138775668,0.4,0.056550595035577966,0.14137648758894492,TRUE,0,1.0060571796437459,ok,NA
NG_MLmin,2,11,phi11,0.40756624583461615,0.020608161454317847,0.3672752689227107,0.44791014403797724,0.4,0.0075662458346161254,0.018915614586540314,TRUE,0,1.0031321810422786,ok,NA
NG_MLmin,2,11,phi12,0.10171190344847048,0.0198446993710623,0.06183698661406596,0.14018922111152768,0.1,0.0017119034484704698,0.017119034484704698,TRUE,0,1.0031321810422786,ok,NA
NG_MLmin,2,11,phi21,0.10599367881005435,0.020474613221986508,0.06738704942400506,0.14755886759891843,0.1,0.005993678810054345,0.05993678810054345,TRUE,0,1.0031321810422786,ok,NA
NG_MLmin,2,11,phi22,0.3966052091907144,0.020785063985618694,0.3556817687682461,0.43680256220623354,0.4,-0.0033947908092856194,-0.008486977023214048,TRUE,0,1.0031321810422786,ok,NA
NG_MLmin,2,11,rho,0.47568642961208063,0.014574676762805055,0.44662522621152145,0.5034501302804666,0.5,-0.02431357038791937,-0.04862714077583874,TRUE,0,1.0031321810422786,ok,NA
NG_MLmin,2,11,sigma[1],1.0038322955401189,0.013193033467830824,0.978590531842628,1.0305112420820024,1,0.0038322955401188796,0.0038322955401188796,TRUE,0,1.0031321810422786,ok,NA
NG_MLmin,2,11,sigma[2],1.0153064645058012,0.013482441673823975,0.9888520819034057,1.0416052490856207,1,0.015306464505801198,0.015306464505801198,TRUE,0,1.0031321810422786,ok,NA
NG_MLmin,2,11,mu_bar[1],0.051257744793153245,0.05706350520858253,-0.06473522103801534,0.16297149576699363,0,0.051257744793153245,0.051257744793153245,TRUE,0,1.0031321810422786,ok,NA
NG_MLmin,2,11,mu_bar[2],0.008233875263421314,0.0855288350056047,-0.1634713088954533,0.17019993904605862,0,0.008233875263421314,0.008233875263421314,TRUE,0,1.0031321810422786,ok,NA
NG_MLmin,2,11,tau_mu[1],0.3377695288230833,0.047610794691048314,0.2557228206035763,0.4429886727416272,0.4,-0.06223047117691671,-0.15557617794229178,TRUE,0,1.0031321810422786,ok,NA
NG_MLmin,2,11,tau_mu[2],0.5046859407103177,0.06419917556315022,0.3951690255344444,0.6463149202765425,0.4,0.10468594071031767,0.2617148517757942,TRUE,0,1.0031321810422786,ok,NA
NG_MLmin,2,12,phi11,0.3925386563849535,0.019732850283191133,0.3536833780026114,0.43169338333630003,0.4,-0.007461343615046523,-0.018653359037616307,TRUE,0,1.004094829334746,ok,NA
NG_MLmin,2,12,phi12,0.08943161328236034,0.020586500988133864,0.04944573189457127,0.12971445760422434,0.1,-0.010568386717639669,-0.10568386717639669,TRUE,0,1.004094829334746,ok,NA
NG_MLmin,2,12,phi21,0.06540196318392047,0.018300693271468396,0.03024126672977595,0.10069931161250173,0.1,-0.034598036816079536,-0.34598036816079536,TRUE,0,1.004094829334746,ok,NA
NG_MLmin,2,12,phi22,0.4067725439874771,0.020344971323952632,0.3677042240086806,0.4468607642137055,0.4,0.006772543987477064,0.01693135996869266,TRUE,0,1.004094829334746,ok,NA
