model,condition_id,rep_id,status,n_div,max_rhat
NG,1,150,ok,NA,1.0004270532081356
SG,1,150,ok,NA,1.0049269590599617
NG,1,151,ok,NA,1.0003269974922537
SG,1,151,ok,NA,1.0198655637101484
NG,1,152,ok,NA,1.0009780871030507
SG,1,152,ok,NA,1.0028671005591652
NG,1,153,ok,NA,1.0003355702292813
SG,1,153,ok,NA,1.002589763505751
NG,1,154,ok,NA,1.001118606354534
SG,1,154,ok,NA,1.0007306928303417
NG,1,155,ok,NA,1.0005468088561873
SG,1,155,ok,NA,1.0022995436142919
NG,1,156,ok,NA,1.0006941515602361
SG,1,156,ok,NA,1.0013394519710141
NG,1,157,ok,NA,1.0010450801651611
SG,1,157,ok,NA,1.0011163688199531
NG,1,158,ok,NA,1.001388484513105
SG,1,158,ok,NA,1.0019213168440426
NG,1,159,ok,NA,1.0012733481129867
SG,1,159,ok,NA,1.0022175350562508
NG,1,160,ok,NA,1.0013394281265817
SG,1,160,ok,NA,1.0025939029661748
NG,1,161,ok,NA,1.0011382297798885
SG,1,161,ok,NA,1.0032485571147454
NG,1,162,ok,NA,1.0009733688253217
SG,1,162,ok,NA,1.0056692754271683
NG,1,163,ok,NA,1.0023389261823579
SG,1,163,ok,NA,1.0010217827773724
NG,1,164,ok,NA,1.0012873423345106
SG,1,164,ok,NA,1.0027773389279595
NG,1,165,ok,NA,1.0012826717101118
SG,1,165,ok,NA,1.0031459562464111
NG,1,166,ok,NA,1.0007713776215552
SG,1,166,ok,NA,1.0029879449915593
NG,1,167,ok,NA,1.000932946275809
SG,1,167,ok,NA,1.0028325165872418
NG,1,168,ok,NA,1.001472034085836
SG,1,168,ok,NA,1.0022870019642256
NG,1,169,ok,NA,1.0006401406866283
SG,1,169,ok,NA,1.0078402083631084
NG,1,170,ok,NA,1.0009713348070746
SG,1,170,ok,NA,1.0031008198241294
NG,1,171,ok,NA,1.0004504549777735
SG,1,171,ok,NA,1.0018694582173697
NG,1,172,ok,NA,1.0002311236585002
SG,1,172,ok,NA,1.002118547041226
NG,1,173,ok,NA,1.001107047727623
SG,1,173,ok,NA,1.0031441730522488
NG,1,174,ok,NA,1.0013276641448312
SG,1,174,ok,NA,1.0029316207860863
NG,1,175,ok,NA,1.001251375764144
SG,1,175,ok,NA,1.0023896922243656
NG,1,176,ok,NA,1.0006933891208731
SG,1,176,ok,NA,1.0015480987195506
NG,1,177,ok,NA,1.000639274339715
SG,1,177,ok,NA,1.003989786957844
NG,1,178,ok,NA,1.0012841586755619
SG,1,178,ok,NA,1.0043489269719628
NG,1,179,ok,NA,1.0016078951659515
SG,1,179,ok,NA,1.0017429702813219
NG,1,180,ok,NA,1.0006686108286773
SG,1,180,ok,NA,1.0031634186357878
NG,1,181,ok,NA,1.0008282751092024
SG,1,181,ok,NA,1.0016732943302433
NG,1,182,ok,NA,1.0002683752209343
SG,1,182,ok,NA,1.0016916761358912
NG,1,183,ok,NA,1.0007312805886641
SG,1,183,ok,NA,1.005089860032737
NG,1,184,ok,NA,1.000092149132831
SG,1,184,ok,NA,1.0005683113241155
NG,1,185,ok,NA,1.0016276098201151
SG,1,185,ok,NA,1.0007740448125109
NG,1,186,ok,NA,1.0013918418532044
SG,1,186,ok,NA,1.0009678926531829
NG,1,187,ok,NA,0.9999833135652942
SG,1,187,ok,NA,1.0007221682347613
NG,1,188,ok,NA,1.00082797168
SG,1,188,ok,NA,1.0013296236623006
NG,1,189,ok,NA,1.0008564296694096
SG,1,189,ok,NA,1.001857779322729
NG,1,190,ok,NA,1.0015196915350717
SG,1,190,ok,NA,1.0021207710798954
NG,1,191,ok,NA,1.0008689510284765
SG,1,191,ok,NA,1.0021365169088747
NG,1,192,ok,NA,1.0009826203872105
SG,1,192,ok,NA,1.0029894751388084
NG,1,193,ok,NA,1.0008280239826868
SG,1,193,ok,NA,1.0064227791459106
NG,1,194,ok,NA,1.0007470446882822
SG,1,194,ok,NA,1.002013397923519
NG,1,195,ok,NA,1.0007983740779955
