condition_id,model,param,N_valid,N_truth_avail,mean_bias,mean_rel_bias,coverage_95,mean_post_sd,emp_sd,sd_bias,mean_n_div,prop_div,mean_rhat
25,EG,sigma_exp[1],200,200,0.021911954420178178,0.021911954420178178,0.95,0.07251921068481529,0.06750811343011782,0.005011097254697464,0,0,1.0015437779638794
25,EG,sigma_exp[2],200,200,0.02389399563514002,0.02389399563514002,0.96,0.07268324498242391,0.06418356684855014,0.00849967813387377,0,0,1.0015437779638794
25,NG,mu[1],200,200,0.0018476216624979766,0.0018476216624979766,0.935,0.07185355549005264,0.0740621590288351,-0.0022086035387824665,0,0,1.0008032740568205
25,NG,mu[2],200,200,0.0027841035430329008,0.0027841035430329008,0.955,0.07223850033217966,0.06533222450683213,0.00690627582534753,0,0,1.0008032740568205
25,NG,phi11,200,200,-0.025043366925155557,-0.045533394409373734,0.9299999999999999,0.062062896983059695,0.06560885564677167,-0.003545958663711976,0,0,1.0008032740568205
25,NG,phi12,200,200,-0.0020880486925162643,-0.020880486925162645,0.9450000000000001,0.07233364278113467,0.0744186519619695,-0.002085009180834832,0,0,1.0008032740568205
25,NG,phi21,200,200,0.002952308922138796,0.029523089221387955,0.96,0.06257929226626174,0.061265475453388736,0.0013138168128730074,0,0,1.0008032740568205
25,NG,phi22,200,200,-0.020231698906369503,-0.08092679562547801,0.965,0.07190476521700419,0.06958162703369279,0.002323138183311396,0,0,1.0008032740568205
25,NG,rho,200,200,-0.046679095403032514,-0.15559698467677502,0.8150000000000001,0.06565044854127865,0.08236568047637557,-0.016715231935096928,0,0,1.0008032740568205
25,NG,sigma[1],200,200,0.00615308000110628,0.00615308000110628,0.6799999999999999,0.051080308010530866,0.09965533888054313,-0.04857503087001227,0,0,1.0008032740568205
25,NG,sigma[2],200,200,0.009029606012717422,0.009029606012717422,0.705,0.05113176483219057,0.0995274296400448,-0.048395664807854226,0,0,1.0008032740568205
26,EG,mu[1],200,200,-0.004773851584640658,-0.004773851584640658,0.955,0.07162909762871168,0.06589859393829091,0.005730503690420774,0,0,1.001572358471257
26,EG,mu[2],200,200,0.0011977716209103718,0.0011977716209103718,0.955,0.07118556899807904,0.06631709597885471,0.004868473019224329,0,0,1.001572358471257
26,EG,phi11,200,200,-0.0011513365123318917,-0.0020933391133307095,0.96,0.009670134082641507,0.009461606836226124,2.085272464153829e-4,0,0,1.001572358471257
26,EG,phi12,200,200,4.1491285313551566e-4,0.004149128531355148,0.94,0.011534946769446391,0.01256749010606972,-0.0010325433366233285,0,0,1.001572358471257
